gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time
0,2025-07-29T07:23:06Z,Young,25.0,7.0,512.0,11.734,0.02,0.01,0.01
1,2025-07-29T07:23:07Z,Young,30.0,29.0,512.0,41.87,0.06,0.09,0.04
2,2025-07-29T07:23:07Z,Young,50.0,51.0,512.0,17.27,0.03,0.04,0.02
3,2025-07-29T07:23:07Z,Young,72.0,72.0,512.0,18.704,0.04,0.03,0.02
4,2025-07-29T07:23:07Z,Young,94.0,94.0,512.0,23.402,0.04,0.06,0.02
5,2025-07-29T07:23:08Z,Young,123.0,124.0,512.0,34.887,0.09,0.04,0.04
6,2025-07-29T07:23:08Z,Young,158.0,159.0,512.0,21.556,0.03,0.05,0.02
7,2025-07-29T07:23:08Z,Young,203.0,204.0,512.0,32.659,0.03,0.09,0.04
8,2025-07-29T07:23:08Z,Young,259.0,260.0,512.0,55.589,0.14,0.08,0.06
9,2025-07-29T07:23:08Z,Young,321.0,322.0,512.0,47.65,0.06,0.12,0.04
10,2025-07-29T07:23:08Z,,,,,,,,
11,2025-07-29T07:23:08Z,Full,362.0,5.0,512.0,32.336,0.03,0.09,0.04
12,2025-07-29T07:23:08Z,Young,86.0,87.0,512.0,18.711,0.04,0.02,0.02
13,2025-07-29T07:23:09Z,Young,187.0,188.0,512.0,34.547,0.09,0.03,0.03
14,2025-07-29T07:23:09Z,Young,271.0,272.0,512.0,23.031,0.07,0.01,0.02
15,2025-07-29T07:23:09Z,Young,329.0,330.0,512.0,21.648,0.05,0.03,0.02
16,2025-07-29T07:23:09Z,,,,,,,,
17,2025-07-29T07:23:09Z,Full,357.0,5.0,512.0,17.37,0.03,0.01,0.02
18,2025-07-29T07:23:10Z,Young,145.0,146.0,512.0,51.053,0.14,0.04,0.05
19,2025-07-29T07:23:10Z,Young,242.0,243.0,512.0,23.817,0.09,0.0,0.02
20,2025-07-29T07:23:10Z,Young,309.0,310.0,512.0,11.942,0.04,0.0,0.01
21,2025-07-29T07:23:10Z,Young,355.0,355.0,512.0,26.158,0.03,0.06,0.03
22,2025-07-29T07:23:10Z,,,,,,,,
23,2025-07-29T07:23:10Z,Full,356.0,5.0,512.0,16.5,0.04,0.0,0.02
24,2025-07-29T07:23:11Z,Young,145.0,146.0,512.0,46.626,0.15,0.03,0.05
25,2025-07-29T07:23:11Z,Young,242.0,243.0,512.0,23.902,0.09,0.0,0.02
26,2025-07-29T07:23:11Z,Young,309.0,310.0,512.0,25.763,0.08,0.01,0.03
27,2025-07-29T07:23:11Z,Young,355.0,356.0,512.0,17.848,0.04,0.01,0.02
28,2025-07-29T07:23:11Z,,,,,,,,
29,2025-07-29T07:23:11Z,Full,357.0,5.0,512.0,20.998,0.04,0.01,0.02
30,2025-07-29T07:23:11Z,Young,146.0,147.0,512.0,37.859,0.13,0.01,0.04
31,2025-07-29T07:23:12Z,Young,243.0,244.0,512.0,25.924,0.09,0.0,0.03
32,2025-07-29T07:23:12Z,Young,310.0,311.0,512.0,17.751,0.04,0.01,0.02
33,2025-07-29T07:23:12Z,,,,,,,,
34,2025-07-29T07:23:12Z,Full,356.0,5.0,512.0,23.042,0.03,0.01,0.02
35,2025-07-29T07:23:12Z,Young,146.0,147.0,512.0,33.939,0.11,0.01,0.03
36,2025-07-29T07:23:13Z,Young,243.0,244.0,512.0,43.413,0.13,0.03,0.05
37,2025-07-29T07:23:13Z,Young,310.0,311.0,512.0,30.952,0.08,0.02,0.03
38,2025-07-29T07:23:13Z,,,,,,,,
39,2025-07-29T07:23:13Z,Full,356.0,5.0,512.0,21.603,0.04,0.01,0.02
40,2025-07-29T07:23:13Z,Young,146.0,147.0,512.0,31.577,0.11,0.01,0.03
41,2025-07-29T07:23:14Z,Young,243.0,243.0,512.0,21.506,0.07,0.0,0.02
42,2025-07-29T07:23:14Z,Young,309.0,310.0,512.0,16.127,0.05,0.0,0.01
43,2025-07-29T07:23:14Z,Full,355.0,5.0,512.0,16.664,0.03,0.0,0.02
44,2025-07-29T07:23:14Z,Young,146.0,147.0,512.0,53.155,0.15,0.04,0.05
45,2025-07-29T07:23:15Z,Young,243.0,243.0,512.0,45.361,0.12,0.03,0.05
46,2025-07-29T07:23:15Z,Young,309.0,310.0,512.0,20.529,0.06,0.01,0.02
47,2025-07-29T07:23:15Z,Full,355.0,5.0,512.0,19.951,0.04,0.0,0.02
48,2025-07-29T07:23:15Z,Young,146.0,147.0,512.0,44.174,0.14,0.02,0.05
49,2025-07-29T07:23:16Z,Young,243.0,244.0,512.0,16.112,0.06,0.0,0.01
50,2025-07-29T07:23:16Z,Young,310.0,311.0,512.0,26.573,0.07,0.02,0.03
51,2025-07-29T07:23:16Z,,,,,,,,
52,2025-07-29T07:23:16Z,Full,356.0,5.0,512.0,24.182,0.04,0.01,0.03
53,2025-07-29T07:23:16Z,Young,146.0,147.0,512.0,28.665,0.09,0.0,0.03
54,2025-07-29T07:23:17Z,Young,243.0,244.0,512.0,21.794,0.08,0.0,0.02
55,2025-07-29T07:23:17Z,Young,310.0,310.0,512.0,19.61,0.07,0.01,0.02
56,2025-07-29T07:23:17Z,,,,,,,,
57,2025-07-29T07:23:17Z,Full,355.0,5.0,512.0,32.084,0.05,0.01,0.03
58,2025-07-29T07:23:17Z,Young,146.0,147.0,512.0,34.133,0.12,0.0,0.04
59,2025-07-29T07:23:17Z,Young,243.0,244.0,512.0,30.924,0.09,0.01,0.03
60,2025-07-29T07:23:18Z,Young,310.0,311.0,512.0,39.013,0.12,0.02,0.03
61,2025-07-29T07:23:18Z,,,,,,,,
62,2025-07-29T07:23:18Z,Full,356.0,5.0,512.0,13.574,0.03,0.0,0.01
63,2025-07-29T07:23:18Z,Young,146.0,147.0,512.0,36.961,0.12,0.01,0.04
64,2025-07-29T07:23:18Z,Young,243.0,244.0,512.0,29.338,0.1,0.0,0.03
65,2025-07-29T07:23:19Z,Young,310.0,310.0,512.0,17.865,0.06,0.0,0.02
66,2025-07-29T07:23:19Z,,,,,,,,
67,2025-07-29T07:23:19Z,Full,355.0,5.0,512.0,15.412,0.04,0.0,0.02
68,2025-07-29T07:23:19Z,Young,146.0,147.0,512.0,29.922,0.1,0.01,0.03
69,2025-07-29T07:23:19Z,Young,243.0,243.0,512.0,25.715,0.09,0.0,0.03
70,2025-07-29T07:23:20Z,Young,309.0,310.0,512.0,28.159,0.09,0.02,0.02
71,2025-07-29T07:23:20Z,Full,355.0,5.0,512.0,16.749,0.03,0.0,0.01
72,2025-07-29T07:23:20Z,Young,146.0,147.0,512.0,34.436,0.13,0.0,0.04
73,2025-07-29T07:23:20Z,Young,243.0,243.0,512.0,23.47,0.09,0.0,0.03
74,2025-07-29T07:23:21Z,Young,309.0,310.0,512.0,31.576,0.09,0.01,0.03
75,2025-07-29T07:23:21Z,Full,355.0,5.0,512.0,13.515,0.03,0.0,0.02
76,2025-07-29T07:23:21Z,Young,146.0,147.0,512.0,28.238,0.1,0.0,0.03
77,2025-07-29T07:23:21Z,Young,243.0,244.0,512.0,19.999,0.08,0.0,0.02
78,2025-07-29T07:23:22Z,Young,310.0,311.0,512.0,16.053,0.06,0.0,0.02
79,2025-07-29T07:23:22Z,,,,,,,,
80,2025-07-29T07:23:22Z,Full,356.0,5.0,512.0,10.661,0.03,0.0,0.01
81,2025-07-29T07:23:22Z,Young,146.0,147.0,512.0,29.186,0.11,0.0,0.03
82,2025-07-29T07:23:22Z,Young,243.0,244.0,512.0,29.464,0.11,0.0,0.03
83,2025-07-29T07:23:22Z,Young,310.0,311.0,512.0,25.594,0.09,0.01,0.03
84,2025-07-29T07:23:23Z,,,,,,,,
85,2025-07-29T07:23:23Z,Full,356.0,5.0,512.0,12.987,0.02,0.01,0.01
86,2025-07-29T07:23:23Z,Young,146.0,147.0,512.0,26.38,0.1,0.0,0.03
87,2025-07-29T07:23:23Z,Young,243.0,244.0,512.0,20.487,0.07,0.0,0.02
88,2025-07-29T07:23:24Z,Young,310.0,310.0,512.0,13.9,0.05,0.0,0.01
89,2025-07-29T07:23:24Z,,,,,,,,
90,2025-07-29T07:23:24Z,Full,355.0,5.0,512.0,10.393,0.03,0.0,0.01
91,2025-07-29T07:23:24Z,Young,146.0,147.0,512.0,32.418,0.11,0.01,0.03
92,2025-07-29T07:23:24Z,Young,243.0,244.0,512.0,18.066,0.06,0.0,0.01
93,2025-07-29T07:23:24Z,Young,310.0,311.0,512.0,18.583,0.06,0.0,0.02
94,2025-07-29T07:23:25Z,,,,,,,,
95,2025-07-29T07:23:25Z,Full,356.0,5.0,512.0,12.433,0.04,0.0,0.01
96,2025-07-29T07:23:25Z,Young,146.0,147.0,512.0,33.912,0.13,0.0,0.03
97,2025-07-29T07:23:25Z,Young,243.0,243.0,512.0,36.865,0.12,0.01,0.04
98,2025-07-29T07:23:26Z,Young,309.0,311.0,512.0,23.269,0.06,0.0,0.02
99,2025-07-29T07:23:26Z,Full,356.0,5.0,512.0,22.644,0.04,0.01,0.03
100,2025-07-29T07:23:26Z,Young,146.0,147.0,512.0,32.83,0.12,0.0,0.04
101,2025-07-29T07:23:26Z,Young,243.0,244.0,512.0,31.433,0.12,0.0,0.03
102,2025-07-29T07:23:27Z,Young,310.0,310.0,512.0,18.459,0.07,0.0,0.02
103,2025-07-29T07:23:27Z,,,,,,,,
104,2025-07-29T07:23:27Z,Full,355.0,5.0,512.0,18.115,0.05,0.0,0.01
105,2025-07-29T07:23:27Z,Young,146.0,147.0,512.0,36.017,0.13,0.0,0.04
106,2025-07-29T07:23:27Z,Young,243.0,244.0,512.0,22.667,0.08,0.0,0.02
107,2025-07-29T07:23:27Z,Young,310.0,311.0,512.0,20.697,0.07,0.0,0.02
108,2025-07-29T07:23:27Z,,,,,,,,
109,2025-07-29T07:23:27Z,Full,356.0,5.0,512.0,14.56,0.03,0.0,0.01
110,2025-07-29T07:23:28Z,Young,146.0,147.0,512.0,29.181,0.11,0.0,0.02
111,2025-07-29T07:23:28Z,Young,243.0,244.0,512.0,25.813,0.1,0.0,0.02
112,2025-07-29T07:23:28Z,Young,310.0,311.0,512.0,17.301,0.06,0.0,0.02
113,2025-07-29T07:23:28Z,,,,,,,,
114,2025-07-29T07:23:28Z,Full,356.0,5.0,512.0,15.733,0.04,0.0,0.02
115,2025-07-29T07:23:29Z,Young,146.0,147.0,512.0,26.962,0.1,0.0,0.03
116,2025-07-29T07:23:29Z,Young,243.0,244.0,512.0,20.862,0.07,0.0,0.02
117,2025-07-29T07:23:29Z,Young,310.0,311.0,512.0,21.406,0.07,0.01,0.02
118,2025-07-29T07:23:29Z,,,,,,,,
119,2025-07-29T07:23:29Z,Full,356.0,5.0,512.0,13.106,0.02,0.0,0.02
120,2025-07-29T07:23:30Z,Young,146.0,147.0,512.0,29.763,0.11,0.01,0.03
121,2025-07-29T07:23:30Z,Young,243.0,244.0,512.0,28.835,0.11,0.0,0.03
122,2025-07-29T07:23:30Z,Young,310.0,311.0,512.0,20.207,0.06,0.0,0.02
123,2025-07-29T07:23:30Z,,,,,,,,
124,2025-07-29T07:23:30Z,Full,356.0,5.0,512.0,12.122,0.02,0.0,0.01
125,2025-07-29T07:23:31Z,Young,146.0,147.0,512.0,28.174,0.11,0.01,0.02
126,2025-07-29T07:23:31Z,Young,243.0,243.0,512.0,24.645,0.07,0.01,0.03
127,2025-07-29T07:23:31Z,Young,309.0,310.0,512.0,20.185,0.06,0.0,0.02
128,2025-07-29T07:23:31Z,Full,355.0,5.0,512.0,12.261,0.03,0.0,0.01
129,2025-07-29T07:23:32Z,Young,146.0,147.0,512.0,26.88,0.09,0.0,0.02
