gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time
0,2025-07-30T10:30:20Z,Young,128,115,491,79.736,0.09,0.21,0.08
1,2025-07-30T10:30:21Z,Young,244,258,491,110.421,0.1,0.32,0.11
2,2025-07-30T10:30:22Z,Full,379,4,491,49.237,0.05,0.05,0.06
3,2025-07-30T10:30:22Z,Young,132,146,491,45.627,0.13,0.01,0.05
4,2025-07-30T10:30:23Z,Young,275,291,491,60.214,0.15,0.08,0.06
5,2025-07-30T10:30:23Z,Full,382,4,491,24.867,0.04,0.02,0.03
6,2025-07-30T10:30:23Z,Young,132,146,491,34.603,0.1,0.01,0.04
7,2025-07-30T10:30:24Z,Young,275,291,420,46.772,0.15,0.02,0.05
8,2025-07-30T10:30:24Z,Full,348,318,455,106.597,0.3,0.09,0.11
9,2025-07-30T10:30:24Z,Full,351,4,455,18.083,0.03,0.0,0.02
10,2025-07-30T10:30:24Z,Young,61,62,455,25.702,0.05,0.02,0.03
11,2025-07-30T10:30:24Z,Young,120,127,455,41.012,0.11,0.02,0.04
12,2025-07-30T10:30:24Z,Young,185,192,455,38.717,0.12,0.03,0.04
13,2025-07-30T10:30:25Z,Young,249,256,455,28.923,0.1,0.01,0.03
14,2025-07-30T10:30:25Z,Young,314,321,455,51.04,0.14,0.05,0.05
15,2025-07-30T10:30:25Z,Full,379,349,455,143.465,0.38,0.14,0.15
16,2025-07-30T10:30:25Z,Full,352,4,455,18.197,0.04,0.0,0.02
17,2025-07-30T10:30:25Z,Young,61,62,455,13.032,0.04,0.0,0.01
18,2025-07-30T10:30:25Z,Young,120,127,455,27.767,0.1,0.01,0.02
19,2025-07-30T10:30:25Z,Young,184,192,455,28.824,0.11,0.0,0.03
20,2025-07-30T10:30:26Z,Young,249,256,455,50.857,0.15,0.04,0.05
21,2025-07-30T10:30:26Z,Young,314,321,455,31.157,0.11,0.01,0.03
22,2025-07-30T10:30:26Z,Full,378,348,455,114.642,0.41,0.0,0.11
23,2025-07-30T10:30:26Z,Full,352,4,455,17.637,0.03,0.0,0.01
24,2025-07-30T10:30:26Z,Young,61,62,455,20.613,0.04,0.01,0.02
25,2025-07-30T10:30:26Z,Young,120,127,455,28.238,0.1,0.0,0.03
26,2025-07-30T10:30:27Z,Young,185,192,455,53.921,0.16,0.04,0.06
27,2025-07-30T10:30:27Z,Young,249,256,455,47.93,0.16,0.03,0.05
28,2025-07-30T10:30:27Z,Young,314,321,455,24.799,0.09,0.0,0.02
29,2025-07-30T10:30:27Z,Full,379,349,455,120.996,0.4,0.04,0.12
30,2025-07-30T10:30:27Z,Full,352,4,455,25.093,0.04,0.01,0.03
31,2025-07-30T10:30:27Z,Young,61,62,455,14.502,0.04,0.01,0.02
32,2025-07-30T10:30:28Z,Young,120,127,455,45.692,0.14,0.01,0.04
33,2025-07-30T10:30:28Z,Young,185,192,455,31.169,0.11,0.01,0.03
34,2025-07-30T10:30:28Z,Young,249,256,455,38.4,0.12,0.01,0.03
35,2025-07-30T10:30:28Z,Young,314,321,455,30.571,0.11,0.0,0.03
36,2025-07-30T10:30:28Z,Full,379,349,455,122.338,0.41,0.02,0.13
37,2025-07-30T10:30:28Z,Full,352,4,455,19.996,0.05,0.0,0.02
38,2025-07-30T10:30:29Z,Young,61,62,455,14.456,0.05,0.0,0.01
39,2025-07-30T10:30:29Z,Young,120,127,455,33.546,0.12,0.01,0.03
40,2025-07-30T10:30:29Z,Young,185,192,455,38.28,0.14,0.01,0.04
41,2025-07-30T10:30:29Z,Young,249,256,455,27.468,0.09,0.01,0.03
42,2025-07-30T10:30:29Z,Young,314,321,455,24.385,0.09,0.0,0.02
43,2025-07-30T10:30:29Z,Full,379,349,455,111.503,0.4,0.0,0.11
44,2025-07-30T10:30:29Z,Full,352,4,455,20.195,0.04,0.0,0.02
45,2025-07-30T10:30:30Z,Young,61,62,455,9.833,0.03,0.0,0.01
46,2025-07-30T10:30:30Z,Young,120,127,455,31.08,0.1,0.0,0.03
47,2025-07-30T10:30:30Z,Young,185,192,455,28.896,0.1,0.01,0.03
48,2025-07-30T10:30:30Z,Young,249,256,455,29.547,0.11,0.0,0.03
49,2025-07-30T10:30:30Z,Young,314,321,455,46.907,0.14,0.03,0.05
50,2025-07-30T10:30:30Z,Full,379,349,455,114.766,0.35,0.02,0.12
51,2025-07-30T10:30:31Z,Full,352,4,455,15.686,0.04,0.0,0.02
52,2025-07-30T10:30:31Z,Young,61,62,455,18.402,0.05,0.0,0.02
53,2025-07-30T10:30:31Z,Young,120,127,455,49.917,0.16,0.03,0.05
54,2025-07-30T10:30:31Z,Young,185,192,455,22.722,0.08,0.0,0.03
55,2025-07-30T10:30:31Z,Young,249,256,455,44.787,0.14,0.02,0.05
56,2025-07-30T10:30:31Z,Young,314,321,455,25.114,0.08,0.01,0.02
57,2025-07-30T10:30:31Z,Full,379,349,455,124.408,0.43,0.01,0.12
58,2025-07-30T10:30:32Z,Full,352,4,455,16.144,0.03,0.0,0.01
59,2025-07-30T10:30:32Z,Young,61,62,455,32.116,0.08,0.02,0.03
60,2025-07-30T10:30:32Z,Young,120,127,455,18.513,0.06,0.0,0.02
61,2025-07-30T10:30:32Z,Young,185,192,455,23.503,0.09,0.0,0.03
62,2025-07-30T10:30:32Z,Young,249,256,455,32.095,0.11,0.0,0.03
63,2025-07-30T10:30:32Z,Young,314,321,455,38.189,0.12,0.02,0.04
64,2025-07-30T10:30:33Z,Full,379,349,455,131.535,0.44,0.02,0.13
65,2025-07-30T10:30:33Z,Full,352,4,455,14.482,0.03,0.01,0.02
66,2025-07-30T10:30:33Z,Young,61,62,455,28.928,0.07,0.01,0.03
67,2025-07-30T10:30:33Z,Young,120,127,455,18.158,0.07,0.0,0.02
68,2025-07-30T10:30:33Z,Young,185,192,455,35.619,0.13,0.01,0.03
69,2025-07-30T10:30:33Z,Young,249,256,455,35.574,0.13,0.01,0.03
70,2025-07-30T10:30:34Z,Young,314,321,455,22.661,0.08,0.0,0.02
71,2025-07-30T10:30:34Z,Full,379,349,455,109.664,0.39,0.0,0.11
72,2025-07-30T10:30:34Z,Full,352,4,455,14.201,0.02,0.0,0.01
73,2025-07-30T10:30:34Z,Young,61,62,455,13.031,0.05,0.01,0.01
74,2025-07-30T10:30:34Z,Young,120,127,455,34.088,0.12,0.0,0.03
75,2025-07-30T10:30:34Z,Young,185,192,455,29.521,0.11,0.01,0.03
76,2025-07-30T10:30:34Z,Young,249,256,455,33.764,0.12,0.01,0.04
77,2025-07-30T10:30:35Z,Young,314,321,455,51.482,0.16,0.02,0.06
78,2025-07-30T10:30:35Z,Full,379,349,455,110.606,0.38,0.01,0.11
79,2025-07-30T10:30:35Z,Full,352,4,455,17.718,0.04,0.01,0.02
80,2025-07-30T10:30:35Z,Young,61,62,455,13.746,0.05,0.0,0.01
81,2025-07-30T10:30:35Z,Young,120,127,455,48.567,0.14,0.02,0.05
82,2025-07-30T10:30:35Z,Young,185,192,455,38.023,0.13,0.02,0.04
