gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time
0,2025-07-30T10:23:18Z,Young,136,112,494,153.812,0.07,0.08,0.15
1,2025-07-30T10:23:20Z,Young,248,246,494,257.779,0.12,0.13,0.25
2,2025-07-30T10:23:21Z,Full,352,4,494,31.754,0.03,0.0,0.03
3,2025-07-30T10:23:21Z,Young,140,140,494,69.16,0.06,0.01,0.06
4,2025-07-30T10:23:22Z,Young,277,277,494,105.072,0.08,0.02,0.11
5,2025-07-30T10:23:22Z,Full,353,4,494,26.491,0.03,0.0,0.03
6,2025-07-30T10:23:22Z,Young,140,140,494,56.032,0.06,0.0,0.06
7,2025-07-30T10:23:22Z,Young,277,277,494,80.924,0.08,0.0,0.08
8,2025-07-30T10:23:23Z,Full,353,4,494,17.145,0.02,0.0,0.02
9,2025-07-30T10:23:23Z,Young,140,140,494,26.728,0.03,0.0,0.02
10,2025-07-30T10:23:23Z,Young,277,277,494,33.994,0.03,0.0,0.03
11,2025-07-30T10:23:24Z,Full,353,4,494,36.947,0.04,0.0,0.04
12,2025-07-30T10:23:24Z,Young,140,140,494,23.119,0.03,0.0,0.03
13,2025-07-30T10:23:24Z,Young,277,277,494,77.029,0.08,0.0,0.08
14,2025-07-30T10:23:25Z,Full,353,4,494,12.862,0.01,0.0,0.01
15,2025-07-30T10:23:25Z,Young,140,140,494,62.803,0.06,0.0,0.07
16,2025-07-30T10:23:25Z,Young,277,277,494,25.047,0.02,0.0,0.02
17,2025-07-30T10:23:25Z,Full,353,4,494,35.376,0.02,0.0,0.03
18,2025-07-30T10:23:26Z,Young,140,140,494,44.167,0.05,0.0,0.04
19,2025-07-30T10:23:26Z,Young,277,277,494,35.173,0.03,0.0,0.04
20,2025-07-30T10:23:26Z,Full,353,4,494,13.144,0.02,0.0,0.01
21,2025-07-30T10:23:27Z,Young,140,140,494,66.928,0.06,0.0,0.07
22,2025-07-30T10:23:27Z,Young,277,277,494,28.106,0.03,0.0,0.02
23,2025-07-30T10:23:27Z,Full,353,4,494,11.834,0.01,0.0,0.02
24,2025-07-30T10:23:28Z,Young,140,140,494,68.075,0.06,0.0,0.07
25,2025-07-30T10:23:28Z,Young,277,277,494,23.848,0.02,0.0,0.02
26,2025-07-30T10:23:28Z,Full,353,4,494,14.633,0.02,0.0,0.01
27,2025-07-30T10:23:28Z,Young,140,140,494,77.009,0.07,0.0,0.08
28,2025-07-30T10:23:29Z,Young,277,277,494,66.361,0.07,0.0,0.07
29,2025-07-30T10:23:29Z,Full,353,4,494,30.785,0.03,0.0,0.03
30,2025-07-30T10:23:29Z,Young,140,140,494,68.701,0.06,0.01,0.07
31,2025-07-30T10:23:30Z,Young,277,277,494,34.906,0.04,0.0,0.03
32,2025-07-30T10:23:30Z,Full,353,4,494,12.686,0.02,0.0,0.01
33,2025-07-30T10:23:30Z,Young,140,140,494,23.314,0.02,0.0,0.02
34,2025-07-30T10:23:31Z,Young,277,277,494,77.175,0.08,0.01,0.07
35,2025-07-30T10:23:31Z,Full,353,4,494,11.738,0.01,0.0,0.01
36,2025-07-30T10:23:31Z,Young,140,140,494,54.101,0.05,0.0,0.06
37,2025-07-30T10:23:32Z,Young,277,277,494,71.19,0.07,0.0,0.07
38,2025-07-30T10:23:32Z,Full,353,4,494,29.8,0.03,0.01,0.03
39,2025-07-30T10:23:32Z,Young,140,140,494,29.435,0.03,0.0,0.03
40,2025-07-30T10:23:33Z,Young,277,277,494,83.205,0.07,0.01,0.09
41,2025-07-30T10:23:33Z,Full,353,4,494,31.086,0.03,0.01,0.03
42,2025-07-30T10:23:33Z,Young,140,140,494,30.572,0.03,0.0,0.03
43,2025-07-30T10:23:34Z,Young,277,277,494,42.821,0.04,0.0,0.04
44,2025-07-30T10:23:34Z,Full,353,4,494,34.67,0.03,0.0,0.03
45,2025-07-30T10:23:34Z,Young,140,140,494,27.457,0.03,0.0,0.02
46,2025-07-30T10:23:34Z,Young,277,277,494,46.241,0.05,0.0,0.05
47,2025-07-30T10:23:35Z,Full,353,4,494,23.263,0.03,0.0,0.02
48,2025-07-30T10:23:35Z,Young,140,140,494,52.901,0.06,0.0,0.06
49,2025-07-30T10:23:35Z,Young,277,277,494,73.45,0.07,0.0,0.07
50,2025-07-30T10:23:36Z,Full,353,4,494,36.723,0.04,0.0,0.04
51,2025-07-30T10:23:36Z,Young,140,140,494,36.45,0.04,0.0,0.04
52,2025-07-30T10:23:36Z,Young,277,277,494,72.124,0.07,0.0,0.07
53,2025-07-30T10:23:37Z,Full,353,4,494,35.048,0.04,0.0,0.03
54,2025-07-30T10:23:37Z,Young,140,140,494,71.869,0.07,0.0,0.07
55,2025-07-30T10:23:37Z,Young,277,277,494,73.54,0.07,0.0,0.07
56,2025-07-30T10:23:38Z,Full,353,4,494,29.846,0.03,0.0,0.03
57,2025-07-30T10:23:38Z,Young,140,140,494,57.338,0.05,0.0,0.06
58,2025-07-30T10:23:38Z,Young,277,277,494,33.541,0.03,0.0,0.03
59,2025-07-30T10:23:38Z,Full,353,4,494,37.549,0.04,0.0,0.03
60,2025-07-30T10:23:39Z,Young,140,140,494,66.345,0.06,0.01,0.07
61,2025-07-30T10:23:39Z,Young,277,277,494,68.797,0.07,0.0,0.07
62,2025-07-30T10:23:39Z,Full,353,4,494,30.858,0.03,0.0,0.03
