gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time,cms_initial_mark_ms,cms_remark_ms
0,2025-08-01T02:21:01Z,Young,0.0,404.0,3430.0,1250.572,1.54,1.7,1.25,,
1,2025-08-01T02:21:01Z,Young,404.0,917.0,3430.0,329.081,1.2,1.22,0.33,,
2,2025-08-01T02:21:02Z,Young,917.0,1437.0,3430.0,329.27,1.31,1.26,0.32,,
3,2025-08-01T02:21:02Z,Young,1437.0,1585.0,3430.0,66.9,0.36,0.17,0.06,,
4,2025-08-01T02:21:02Z,Young,1585.0,2111.0,3430.0,308.178,1.12,1.21,0.31,,
5,2025-08-01T02:21:04Z,Initial Mark,,,,5.264,3.31,4.32,1.18,,
6,2025-08-01T02:21:03Z,Young,2111.0,2638.0,3430.0,501.653,1.3,2.64,0.5,,
7,2025-08-01T02:21:03Z,Young,2638.0,2895.0,3430.0,297.431,0.96,1.38,0.29,,
8,2025-08-01T02:21:04Z,Young,2895.0,521.0,3430.0,943.003,1.0,0.02,0.94,,
9,2025-08-01T02:21:04Z,Full,,,,942.785,,,,,
10,2025-08-01T02:21:05Z,Young,521.0,985.0,3430.0,196.16,1.45,0.07,0.19,,
11,2025-08-01T02:21:05Z,Young,985.0,1515.0,3430.0,180.807,1.31,0.09,0.18,,
12,2025-08-01T02:21:05Z,Young,1515.0,1746.0,3430.0,93.783,0.67,0.06,0.09,,
13,2025-08-01T02:21:06Z,Initial Mark,,,,3.705,4.46,0.3,0.96,,
14,2025-08-01T02:21:05Z,Young,1746.0,2277.0,3430.0,160.143,1.24,0.0,0.16,,
15,2025-08-01T02:21:06Z,Young,2277.0,2806.0,3430.0,189.638,1.41,0.04,0.19,,
16,2025-08-01T02:21:06Z,Young,2806.0,2967.0,3430.0,138.66,0.75,0.26,0.14,,
17,2025-08-01T02:21:07Z,Young,2967.0,618.0,3430.0,1095.286,1.09,0.0,1.1,,
18,2025-08-01T02:21:07Z,Full,,,,1095.016,,,,,
19,2025-08-01T02:21:07Z,Young,618.0,1083.0,3430.0,152.178,1.14,0.0,0.16,,
20,2025-08-01T02:21:08Z,Young,1083.0,1482.0,3430.0,164.974,1.11,0.13,0.16,,
21,2025-08-01T02:21:08Z,Young,1482.0,1809.0,3430.0,166.202,1.21,0.08,0.16,,
22,2025-08-01T02:21:08Z,Initial Mark,,,,3.709,3.06,0.04,0.54,,
23,2025-08-01T02:21:08Z,Young,1809.0,2341.0,3430.0,183.78,1.38,0.04,0.19,,
24,2025-08-01T02:21:08Z,Young,2341.0,2873.0,3430.0,148.759,1.17,0.0,0.15,,
25,2025-08-01T02:21:09Z,Young,2873.0,186.0,3430.0,612.409,0.61,0.0,0.62,,
26,2025-08-01T02:21:09Z,Full,,,,612.151,,,,,
27,2025-08-01T02:21:09Z,Young,186.0,654.0,3430.0,190.876,1.5,0.0,0.19,,
28,2025-08-01T02:21:10Z,Young,654.0,1186.0,3430.0,224.059,1.47,0.11,0.23,,
29,2025-08-01T02:21:10Z,Young,1186.0,1502.0,3430.0,177.048,1.25,0.1,0.17,,
30,2025-08-01T02:21:10Z,Young,1502.0,1857.0,3430.0,141.709,1.11,0.0,0.14,,
31,2025-08-01T02:21:11Z,Initial Mark,,,,3.399,4.87,0.18,0.91,,
32,2025-08-01T02:21:11Z,Young,1857.0,2387.0,3430.0,219.587,1.68,0.04,0.22,,
33,2025-08-01T02:21:11Z,Young,2387.0,2795.0,3430.0,172.869,1.27,0.06,0.18,,
34,2025-08-01T02:21:11Z,Young,2795.0,2993.0,3430.0,143.286,1.04,0.08,0.15,,
35,2025-08-01T02:21:12Z,Young,2993.0,823.0,3430.0,1060.069,1.06,0.0,1.06,,
36,2025-08-01T02:21:12Z,Full,,,,1059.828,,,,,
37,2025-08-01T02:21:13Z,Young,823.0,1155.0,3430.0,147.976,1.08,0.04,0.15,,
38,2025-08-01T02:21:13Z,Young,1155.0,1574.0,3430.0,134.044,0.98,0.01,0.13,,
39,2025-08-01T02:21:13Z,Young,1574.0,1962.0,3430.0,151.124,1.14,0.04,0.15,,
40,2025-08-01T02:21:14Z,Initial Mark,,,,3.782,0.35,0.0,0.33,,
41,2025-08-01T02:21:13Z,Young,1962.0,2493.0,3430.0,164.148,1.27,0.0,0.16,,
