gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time,young_before,young_after,young_total,old_before,old_after,old_total,humongous_alloc
0,2025-08-01T02:34:22Z,Young,205.0,180.0,4096.0,332.525,0.76,1.57,0.34,205.0,180.0,4096.0,,,,
1,2025-08-01T02:34:22Z,Young,358.0,358.0,4096.0,64.028,0.21,0.28,0.06,358.0,358.0,4096.0,,,,
2,2025-08-01T02:34:22Z,Young,536.0,539.0,4096.0,57.114,0.2,0.25,0.06,536.0,539.0,4096.0,,,,
3,2025-08-01T02:34:23Z,Young,717.0,718.0,4096.0,75.626,0.26,0.33,0.07,717.0,718.0,4096.0,,,,
4,2025-08-01T02:34:23Z,Young,896.0,901.0,4096.0,72.791,0.24,0.32,0.07,896.0,901.0,4096.0,,,,
5,2025-08-01T02:34:23Z,Young,1079.0,1082.0,4096.0,66.684,0.24,0.27,0.07,1079.0,1082.0,4096.0,,,,
6,2025-08-01T02:34:23Z,Young,1260.0,1263.0,4096.0,60.668,0.21,0.26,0.07,1260.0,1263.0,4096.0,,,,
7,2025-08-01T02:34:23Z,Young,1441.0,1442.0,4096.0,74.628,0.28,0.31,0.08,1441.0,1442.0,4096.0,,,,
8,2025-08-01T02:34:23Z,Young,1620.0,1623.0,4096.0,62.841,0.22,0.27,0.07,1620.0,1623.0,4096.0,,,,
9,2025-08-01T02:34:23Z,Young,1801.0,1806.0,4096.0,64.292,0.25,0.25,0.07,1801.0,1806.0,4096.0,,,,
10,2025-08-01T02:34:23Z,Young,1984.0,1922.0,4096.0,70.382,0.26,0.28,0.07,1984.0,1922.0,4096.0,,,,
11,2025-08-01T02:34:23Z,Young,2100.0,2103.0,4096.0,74.238,0.28,0.29,0.08,2100.0,2103.0,4096.0,,,,
12,2025-08-01T02:34:24Z,Cleanup,1525.0,1525.0,4096.0,0.895,0.0,0.0,0.0,,,,,,,
13,2025-08-01T02:34:23Z,Young,2281.0,2284.0,4096.0,57.654,0.21,0.24,0.05,2281.0,2284.0,4096.0,,,,
14,2025-08-01T02:34:24Z,Young,2462.0,2466.0,4096.0,76.347,0.24,0.36,0.08,2462.0,2466.0,4096.0,,,,
15,2025-08-01T02:34:24Z,Young,906.0,910.0,4096.0,31.866,0.25,0.0,0.04,906.0,910.0,4096.0,,,,
16,2025-08-01T02:34:24Z,Young,1088.0,1092.0,4096.0,31.221,0.23,0.0,0.03,1088.0,1092.0,4096.0,,,,
17,2025-08-01T02:34:24Z,Young,1270.0,1273.0,4096.0,71.289,0.36,0.13,0.07,1270.0,1273.0,4096.0,,,,
18,2025-08-01T02:34:24Z,Young,1451.0,1455.0,4096.0,35.512,0.26,0.01,0.03,1451.0,1455.0,4096.0,,,,
19,2025-08-01T02:34:24Z,Young,1633.0,1634.0,4096.0,40.185,0.29,0.02,0.04,1633.0,1634.0,4096.0,,,,
20,2025-08-01T02:34:24Z,Young,1812.0,1816.0,4096.0,32.798,0.24,0.01,0.03,1812.0,1816.0,4096.0,,,,
21,2025-08-01T02:34:24Z,Young,1994.0,1894.0,4096.0,34.998,0.23,0.03,0.03,1994.0,1894.0,4096.0,,,,
22,2025-08-01T02:34:24Z,Young,2072.0,2075.0,4096.0,43.336,0.3,0.04,0.04,2072.0,2075.0,4096.0,,,,
23,2025-08-01T02:34:26Z,Cleanup,953.0,953.0,4096.0,0.585,0.0,0.0,0.0,,,,,,,
24,2025-08-01T02:34:24Z,Young,531.0,535.0,4096.0,37.334,0.26,0.0,0.03,531.0,535.0,4096.0,,,,
25,2025-08-01T02:34:24Z,Young,713.0,716.0,4096.0,40.982,0.3,0.01,0.04,713.0,716.0,4096.0,,,,
26,2025-08-01T02:34:24Z,Young,894.0,897.0,4096.0,35.224,0.25,0.01,0.03,894.0,897.0,4096.0,,,,
27,2025-08-01T02:34:25Z,Young,1075.0,1078.0,4096.0,35.521,0.25,0.0,0.03,1075.0,1078.0,4096.0,,,,
28,2025-08-01T02:34:25Z,Young,1256.0,1260.0,4096.0,36.677,0.26,0.02,0.04,1256.0,1260.0,4096.0,,,,
29,2025-08-01T02:34:25Z,Young,1438.0,1380.0,4096.0,34.999,0.25,0.02,0.03,1438.0,1380.0,4096.0,,,,
30,2025-08-01T02:34:25Z,Young,1558.0,1561.0,4096.0,36.185,0.26,0.01,0.03,1558.0,1561.0,4096.0,,,,
31,2025-08-01T02:34:25Z,Young,1739.0,1742.0,4096.0,37.918,0.26,0.02,0.03,1739.0,1742.0,4096.0,,,,
32,2025-08-01T02:34:25Z,Young,1920.0,1895.0,4096.0,31.547,0.24,0.01,0.03,1920.0,1895.0,4096.0,,,,
33,2025-08-01T02:34:25Z,Young,2073.0,1984.0,4096.0,20.683,0.13,0.01,0.02,2073.0,1984.0,4096.0,,,,
34,2025-08-01T02:34:25Z,Young,2162.0,2165.0,4096.0,39.176,0.26,0.02,0.04,2162.0,2165.0,4096.0,,,,
35,2025-08-01T02:34:25Z,Young,2343.0,2346.0,4096.0,30.493,0.23,0.0,0.03,2343.0,2346.0,4096.0,,,,
36,2025-08-01T02:34:25Z,Young,2524.0,2527.0,4096.0,51.292,0.27,0.12,0.05,2524.0,2527.0,4096.0,,,,
37,2025-08-01T02:34:25Z,Young,2705.0,2708.0,4096.0,81.739,0.26,0.38,0.08,2705.0,2708.0,4096.0,,,,
38,2025-08-01T02:34:25Z,Young,2886.0,2890.0,4096.0,73.089,0.22,0.36,0.07,2886.0,2890.0,4096.0,,,,
39,2025-08-01T02:34:25Z,Young,3068.0,3047.0,4096.0,81.118,0.29,0.34,0.08,3068.0,3047.0,4096.0,,,,
40,2025-08-01T02:34:25Z,Young,3225.0,3229.0,4096.0,71.666,0.25,0.31,0.07,3225.0,3229.0,4096.0,,,,
41,2025-08-01T02:34:26Z,Young,3407.0,3409.0,4096.0,90.126,0.27,0.43,0.09,3407.0,3409.0,4096.0,,,,
42,2025-08-01T02:34:26Z,Young,3587.0,3559.0,4096.0,73.616,0.25,0.32,0.07,3587.0,3559.0,4096.0,,,,
43,2025-08-01T02:34:26Z,Young,3737.0,3701.0,4096.0,64.151,0.2,0.3,0.07,3737.0,3701.0,4096.0,,,,
44,2025-08-01T02:34:26Z,Young,3879.0,3842.0,4096.0,57.555,0.2,0.25,0.06,3879.0,3842.0,4096.0,,,,
45,2025-08-01T02:34:26Z,,,,,,,,,,,,,,,
46,2025-08-01T02:34:26Z,Young,4020.0,4069.0,4096.0,43.462,0.22,0.1,0.04,4020.0,4069.0,4096.0,,,,
47,2025-08-01T02:34:26Z,Young,4093.0,4093.0,4096.0,10.004,0.05,0.0,0.01,4093.0,4093.0,4096.0,,,,
48,2025-08-01T02:34:26Z,Full,4093.0,588.0,4096.0,208.37,1.35,0.1,0.21,,,,,,,
49,2025-08-01T02:34:26Z,Young,812.0,812.0,4096.0,45.066,0.31,0.02,0.05,812.0,812.0,4096.0,,,,
50,2025-08-01T02:34:27Z,Young,2736.0,1707.0,4096.0,252.945,1.82,0.17,0.25,2736.0,1707.0,4096.0,,,,
51,2025-08-01T02:34:27Z,Young,1975.0,1813.0,4096.0,116.536,0.77,0.14,0.12,1975.0,1813.0,4096.0,,,,
52,2025-08-01T02:34:27Z,Young,2085.0,2088.0,4096.0,61.644,0.43,0.02,0.06,2085.0,2088.0,4096.0,,,,
53,2025-08-01T02:34:27Z,Young,2364.0,2368.0,4096.0,89.847,0.55,0.08,0.09,2364.0,2368.0,4096.0,,,,
54,2025-08-01T02:34:29Z,Remark,3563.0,2706.0,4096.0,3.584,0.01,0.0,0.0,,,,,,,
55,2025-08-01T02:34:27Z,Young,2610.0,2497.0,4096.0,59.677,0.43,0.04,0.06,2610.0,2497.0,4096.0,,,,
56,2025-08-01T02:34:28Z,Young,2761.0,2704.0,4096.0,38.339,0.28,0.0,0.04,2761.0,2704.0,4096.0,,,,
57,2025-08-01T02:34:28Z,Young,2970.0,2974.0,4096.0,70.367,0.5,0.03,0.07,2970.0,2974.0,4096.0,,,,
58,2025-08-01T02:34:28Z,Young,3198.0,3200.0,4096.0,55.604,0.42,0.02,0.05,3198.0,3200.0,4096.0,,,,
59,2025-08-01T02:34:28Z,Young,3370.0,3333.0,4096.0,34.832,0.24,0.02,0.03,3370.0,3333.0,4096.0,,,,
60,2025-08-01T02:34:28Z,Young,3511.0,3515.0,4096.0,34.395,0.26,0.0,0.03,3511.0,3515.0,4096.0,,,,
61,2025-08-01T02:34:28Z,Young,2836.0,2838.0,4096.0,31.785,0.23,0.0,0.04,2836.0,2838.0,4096.0,,,,
62,2025-08-01T02:34:28Z,Young,3104.0,3105.0,4096.0,49.344,0.38,0.0,0.05,3104.0,3105.0,4096.0,,,,
63,2025-08-01T02:34:28Z,Young,3285.0,3289.0,4096.0,44.866,0.34,0.0,0.05,3285.0,3289.0,4096.0,,,,
64,2025-08-01T02:34:28Z,Young,3465.0,3437.0,4096.0,35.737,0.27,0.0,0.04,3465.0,3437.0,4096.0,,,,
65,2025-08-01T02:34:28Z,Young,3615.0,3595.0,4096.0,30.261,0.23,0.0,0.03,3615.0,3595.0,4096.0,,,,
66,2025-08-01T02:34:28Z,Young,3773.0,3776.0,4096.0,57.852,0.44,0.0,0.06,3773.0,3776.0,4096.0,,,,
67,2025-08-01T02:34:28Z,Young,3954.0,3983.0,4096.0,38.325,0.27,0.0,0.04,3954.0,3983.0,4096.0,,,,
68,2025-08-01T02:34:28Z,Young,4093.0,4093.0,4096.0,18.891,0.13,0.0,0.02,4093.0,4093.0,4096.0,,,,
69,2025-08-01T02:34:29Z,Full,4093.0,903.0,4096.0,282.613,1.94,0.04,0.28,,,,,,,
70,2025-08-01T02:34:29Z,Young,1233.0,1184.0,4096.0,79.217,0.55,0.06,0.08,1233.0,1184.0,4096.0,,,,
71,2025-08-01T02:34:29Z,Young,1516.0,1519.0,4096.0,105.166,0.67,0.11,0.11,1516.0,1519.0,4096.0,,,,
72,2025-08-01T02:34:29Z,Young,1831.0,1833.0,4096.0,61.826,0.47,0.01,0.06,1831.0,1833.0,4096.0,,,,
73,2025-08-01T02:34:29Z,Young,2135.0,1990.0,4096.0,53.703,0.37,0.03,0.06,2135.0,1990.0,4096.0,,,,
74,2025-08-01T02:34:29Z,Young,2366.0,2371.0,4096.0,78.09,0.57,0.03,0.08,2366.0,2371.0,4096.0,,,,
75,2025-08-01T02:34:30Z,Cleanup,2291.0,2291.0,4096.0,0.745,0.0,0.0,0.0,,,,,,,
76,2025-08-01T02:34:30Z,Young,2791.0,2794.0,4096.0,79.217,0.61,0.0,0.08,2791.0,2794.0,4096.0,,,,
77,2025-08-01T02:34:30Z,Young,1854.0,1840.0,4096.0,124.485,0.88,0.09,0.12,1854.0,1840.0,4096.0,,,,
78,2025-08-01T02:34:30Z,Young,2428.0,1959.0,4096.0,36.144,0.27,0.0,0.04,2428.0,1959.0,4096.0,,,,
79,2025-08-01T02:34:30Z,Young,2561.0,2562.0,4096.0,101.502,0.76,0.0,0.1,2561.0,2562.0,4096.0,,,,
80,2025-08-01T02:34:30Z,Young,2680.0,2463.0,4096.0,30.537,0.23,0.0,0.03,2680.0,2463.0,4096.0,,,,
81,2025-08-01T02:34:30Z,Young,2855.0,2794.0,4096.0,71.582,0.54,0.0,0.07,2855.0,2794.0,4096.0,,,,
82,2025-08-01T02:34:31Z,Cleanup,3089.0,3089.0,4096.0,1.211,0.0,0.0,0.0,,,,,,,
83,2025-08-01T02:34:30Z,Young,3072.0,3072.0,4096.0,49.68,0.39,0.0,0.04,3072.0,3072.0,4096.0,,,,
84,2025-08-01T02:34:31Z,Young,3262.0,3265.0,4096.0,41.129,0.31,0.0,0.04,3262.0,3265.0,4096.0,,,,
85,2025-08-01T02:34:31Z,Young,3439.0,3444.0,4096.0,32.289,0.25,0.0,0.04,3439.0,3444.0,4096.0,,,,
86,2025-08-01T02:34:31Z,Young,3622.0,3538.0,4096.0,19.497,0.14,0.0,0.01,3622.0,3538.0,4096.0,,,,
87,2025-08-01T02:34:31Z,Young,2006.0,2010.0,4096.0,30.273,0.23,0.0,0.03,2006.0,2010.0,4096.0,,,,
88,2025-08-01T02:34:31Z,Young,2568.0,2436.0,4096.0,94.256,0.71,0.01,0.09,2568.0,2436.0,4096.0,,,,
89,2025-08-01T02:34:31Z,Young,2846.0,2848.0,4096.0,91.969,0.64,0.04,0.09,2846.0,2848.0,4096.0,,,,
90,2025-08-01T02:34:31Z,Young,3112.0,3113.0,4096.0,47.336,0.37,0.0,0.04,3112.0,3113.0,4096.0,,,,
91,2025-08-01T02:34:31Z,Young,3291.0,3294.0,4096.0,32.617,0.25,0.0,0.03,3291.0,3294.0,4096.0,,,,
92,2025-08-01T02:34:32Z,,,,,,,,,,,,,,,
93,2025-08-01T02:34:31Z,Young,3470.0,3339.0,4096.0,12.79,0.09,0.0,0.01,3470.0,3339.0,4096.0,,,,
94,2025-08-01T02:34:31Z,Young,3517.0,3519.0,4096.0,29.197,0.23,0.0,0.03,3517.0,3519.0,4096.0,,,,
95,2025-08-01T02:34:32Z,Young,3697.0,3701.0,4096.0,35.593,0.24,0.0,0.04,3697.0,3701.0,4096.0,,,,
96,2025-08-01T02:34:32Z,Young,3879.0,3883.0,4096.0,39.343,0.27,0.0,0.04,3879.0,3883.0,4096.0,,,,
97,2025-08-01T02:34:32Z,Young,4061.0,4071.0,4096.0,31.455,0.23,0.0,0.03,4061.0,4071.0,4096.0,,,,
98,2025-08-01T02:34:32Z,Young,4093.0,4093.0,4096.0,8.08,0.05,0.0,0.0,4093.0,4093.0,4096.0,,,,
99,2025-08-01T02:34:32Z,Full,4093.0,570.0,4096.0,185.374,1.3,0.03,0.19,,,,,,,
100,2025-08-01T02:34:32Z,Young,1128.0,1129.0,4096.0,164.309,1.15,0.09,0.16,1128.0,1129.0,4096.0,,,,
101,2025-08-01T02:34:32Z,Young,1605.0,1460.0,4096.0,83.181,0.61,0.03,0.08,1605.0,1460.0,4096.0,,,,
102,2025-08-01T02:34:33Z,Young,1996.0,1942.0,4096.0,111.974,0.82,0.04,0.11,1996.0,1942.0,4096.0,,,,
103,2025-08-01T02:34:33Z,Young,2496.0,2413.0,4096.0,117.142,0.89,0.03,0.12,2496.0,2413.0,4096.0,,,,
104,2025-08-01T02:34:34Z,Cleanup,2860.0,2860.0,4096.0,1.417,0.01,0.0,0.0,,,,,,,
105,2025-08-01T02:34:33Z,Young,2813.0,2817.0,4096.0,91.486,0.67,0.04,0.1,2813.0,2817.0,4096.0,,,,
106,2025-08-01T02:34:33Z,Young,3083.0,3027.0,4096.0,41.932,0.31,0.0,0.04,3083.0,3027.0,4096.0,,,,
107,2025-08-01T02:34:33Z,Young,1862.0,1761.0,4096.0,51.934,0.36,0.03,0.06,1862.0,1761.0,4096.0,,,,
108,2025-08-01T02:34:33Z,Young,2391.0,2222.0,4096.0,96.495,0.73,0.02,0.1,2391.0,2222.0,4096.0,,,,
109,2025-08-01T02:34:34Z,Young,2704.0,2706.0,4096.0,107.68,0.81,0.03,0.11,2704.0,2706.0,4096.0,,,,
110,2025-08-01T02:34:34Z,Young,3020.0,2916.0,4096.0,65.093,0.47,0.03,0.07,3020.0,2916.0,4096.0,,,,
111,2025-08-01T02:34:34Z,Young,3170.0,3173.0,4096.0,60.655,0.44,0.03,0.06,3170.0,3173.0,4096.0,,,,
112,2025-08-01T02:34:34Z,,,,,,,,,,,,,,,
113,2025-08-01T02:34:34Z,Young,3339.0,3235.0,4096.0,20.988,0.16,0.0,0.03,3339.0,3235.0,4096.0,,,,
114,2025-08-01T02:34:34Z,Young,3413.0,3417.0,4096.0,32.491,0.25,0.01,0.03,3413.0,3417.0,4096.0,,,,
115,2025-08-01T02:34:34Z,Young,3595.0,3600.0,4096.0,34.353,0.26,0.0,0.03,3595.0,3600.0,4096.0,,,,
116,2025-08-01T02:34:34Z,Young,3778.0,3781.0,4096.0,36.042,0.27,0.01,0.03,3778.0,3781.0,4096.0,,,,
117,2025-08-01T02:34:34Z,Young,3959.0,3967.0,4096.0,41.716,0.28,0.01,0.04,3959.0,3967.0,4096.0,,,,
118,2025-08-01T02:34:34Z,Young,4093.0,4093.0,4096.0,23.219,0.15,0.0,0.03,4093.0,4093.0,4096.0,,,,
119,2025-08-01T02:34:34Z,Full,4093.0,816.0,4096.0,223.329,1.66,0.0,0.22,,,,,,,
120,2025-08-01T02:34:35Z,Young,1602.0,1468.0,4096.0,169.532,1.28,0.03,0.17,1602.0,1468.0,4096.0,,,,
121,2025-08-01T02:34:35Z,Young,2154.0,2050.0,4096.0,151.916,1.16,0.01,0.15,2154.0,2050.0,4096.0,,,,
122,2025-08-01T02:34:35Z,Young,2568.0,2502.0,4096.0,162.304,1.13,0.07,0.16,2568.0,2502.0,4096.0,,,,
123,2025-08-01T02:34:36Z,Cleanup,3624.0,3624.0,4096.0,0.585,0.0,0.0,0.0,,,,,,,
124,2025-08-01T02:34:36Z,Young,2870.0,2756.0,4096.0,66.04,0.49,0.01,0.07,2870.0,2756.0,4096.0,,,,
125,2025-08-01T02:34:36Z,Young,3052.0,3054.0,4096.0,55.119,0.43,0.0,0.06,3052.0,3054.0,4096.0,,,,
126,2025-08-01T02:34:36Z,Young,3250.0,3203.0,4096.0,47.678,0.33,0.03,0.04,3250.0,3203.0,4096.0,,,,
127,2025-08-01T02:34:36Z,Young,3377.0,3380.0,4096.0,39.341,0.29,0.01,0.04,3377.0,3380.0,4096.0,,,,
128,2025-08-01T02:34:36Z,Young,2373.0,2377.0,4096.0,50.199,0.36,0.02,0.05,2373.0,2377.0,4096.0,,,,
129,2025-08-01T02:34:36Z,Young,2795.0,2733.0,4096.0,78.515,0.59,0.02,0.08,2795.0,2733.0,4096.0,,,,
130,2025-08-01T02:34:36Z,Young,3035.0,3040.0,4096.0,67.762,0.5,0.02,0.07,3035.0,3040.0,4096.0,,,,
131,2025-08-01T02:34:36Z,Young,3240.0,3243.0,4096.0,35.871,0.27,0.0,0.03,3240.0,3243.0,4096.0,,,,
132,2025-08-01T02:34:36Z,Young,3415.0,3295.0,4096.0,22.071,0.14,0.0,0.02,3415.0,3295.0,4096.0,,,,
133,2025-08-01T02:34:36Z,Young,3473.0,3477.0,4096.0,42.443,0.29,0.01,0.04,3473.0,3477.0,4096.0,,,,
134,2025-08-01T02:34:36Z,Young,3655.0,3615.0,4096.0,27.287,0.21,0.0,0.02,3655.0,3615.0,4096.0,,,,
135,2025-08-01T02:34:37Z,Young,3793.0,3678.0,4096.0,38.434,0.28,0.0,0.04,3793.0,3678.0,4096.0,,,,
136,2025-08-01T02:34:37Z,Young,3856.0,3859.0,4096.0,63.235,0.43,0.02,0.07,3856.0,3859.0,4096.0,,,,
137,2025-08-01T02:34:37Z,,,,,,,,,,,,,,,
138,2025-08-01T02:34:37Z,Young,4037.0,4051.0,4096.0,43.561,0.32,0.01,0.05,4037.0,4051.0,4096.0,,,,
139,2025-08-01T02:34:37Z,Young,4093.0,4093.0,4096.0,12.688,0.08,0.0,0.01,4093.0,4093.0,4096.0,,,,
140,2025-08-01T02:34:37Z,Full,4093.0,1066.0,4096.0,313.987,2.31,0.01,0.32,,,,,,,
141,2025-08-01T02:34:37Z,Young,1912.0,1473.0,4096.0,66.607,0.52,0.0,0.06,1912.0,1473.0,4096.0,,,,
142,2025-08-01T02:34:38Z,Young,2231.0,2092.0,4096.0,145.944,1.09,0.05,0.15,2231.0,2092.0,4096.0,,,,
143,2025-08-01T02:34:38Z,Young,2621.0,2532.0,4096.0,143.514,1.03,0.07,0.14,2621.0,2532.0,4096.0,,,,
144,2025-08-01T02:34:39Z,Cleanup,2949.0,2949.0,4096.0,0.976,0.0,0.0,0.0,,,,,,,
145,2025-08-01T02:34:38Z,Young,2902.0,2906.0,4096.0,87.707,0.63,0.03,0.09,2902.0,2906.0,4096.0,,,,
146,2025-08-01T02:34:38Z,Young,3150.0,3043.0,4096.0,54.318,0.37,0.03,0.06,3150.0,3043.0,4096.0,,,,
147,2025-08-01T02:34:38Z,Young,3251.0,3255.0,4096.0,40.108,0.3,0.0,0.04,3251.0,3255.0,4096.0,,,,
148,2025-08-01T02:34:38Z,Young,2034.0,2022.0,4096.0,34.001,0.26,0.0,0.04,2034.0,2022.0,4096.0,,,,
149,2025-08-01T02:34:39Z,Young,2562.0,2423.0,4096.0,73.846,0.54,0.01,0.08,2562.0,2423.0,4096.0,,,,
150,2025-08-01T02:34:39Z,Young,2835.0,2839.0,4096.0,87.425,0.64,0.02,0.09,2835.0,2839.0,4096.0,,,,
151,2025-08-01T02:34:39Z,Young,3109.0,3112.0,4096.0,79.024,0.57,0.04,0.08,3109.0,3112.0,4096.0,,,,
