gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time,eden_before,eden_after,eden_total,from_before,from_after,from_total,to_before,to_after,to_total,old_before,old_after,old_total,metaspace_used,metaspace_committed
0,2025-08-01T02:27:01Z,Young,1024,955,3925,415.903,0.87,2.36,0.42,,,,,,,,,,,,,9,12
1,2025-08-01T02:27:01Z,Young,1979,867,3925,120.112,0.34,0.59,0.12,,,,,,,,,,,,,9,12
2,2025-08-01T02:27:02Z,Young,1891,1958,3925,473.257,1.15,2.56,0.47,,,,,,,,,,,,,9,12
3,2025-08-01T02:27:03Z,Full,1958,1094,3925,963.859,1.92,4.96,0.96,,,,,,,,,,,,,9,12
4,2025-08-01T02:27:03Z,Young,2118,1394,3925,107.414,0.59,0.19,0.11,,,,,,,,,,,,,9,12
5,2025-08-01T02:27:04Z,Young,2418,2453,3356,497.074,2.03,1.93,0.49,,,,,,,,,,,,,9,12
6,2025-08-01T02:27:04Z,Full,2453,1313,3641,641.65,2.54,1.96,0.65,,,,,,,,,,,,,9,12
7,2025-08-01T02:27:05Z,Young,1768,1577,3641,56.789,0.42,0.01,0.06,,,,,,,,,,,,,9,12
8,2025-08-01T02:27:05Z,Full,1577,860,3641,228.802,1.53,0.17,0.23,,,,,,,,,,,,,9,12
9,2025-08-01T02:27:05Z,Young,1315,1236,3641,81.924,0.56,0.04,0.08,,,,,,,,,,,,,9,12
10,2025-08-01T02:27:05Z,Young,1691,1705,3641,174.483,1.29,0.1,0.17,,,,,,,,,,,,,9,12
11,2025-08-01T02:27:05Z,Young,2160,2177,3641,175.514,1.35,0.04,0.17,,,,,,,,,,,,,9,12
12,2025-08-01T02:27:06Z,Full,2177,1317,3641,323.771,2.38,0.04,0.33,,,,,,,,,,,,,9,12
13,2025-08-01T02:27:06Z,Young,1772,1594,3641,76.164,0.5,0.1,0.08,,,,,,,,,,,,,9,12
14,2025-08-01T02:27:06Z,Young,2049,1738,3641,105.191,0.73,0.11,0.1,,,,,,,,,,,,,9,12
15,2025-08-01T02:27:06Z,Young,2193,2203,3641,144.928,1.15,0.0,0.14,,,,,,,,,,,,,9,12
16,2025-08-01T02:27:07Z,Full,2203,873,3641,202.067,1.47,0.0,0.2,,,,,,,,,,,,,9,12
17,2025-08-01T02:27:07Z,Young,1328,1334,3641,113.771,0.81,0.09,0.11,,,,,,,,,,,,,9,12
18,2025-08-01T02:27:07Z,Young,1789,1419,3641,210.374,1.39,0.2,0.21,,,,,,,,,,,,,9,12
19,2025-08-01T02:27:07Z,Young,1874,1758,3641,162.838,1.21,0.07,0.17,,,,,,,,,,,,,9,12
20,2025-08-01T02:27:08Z,Young,2213,2106,3641,174.939,1.28,0.1,0.18,,,,,,,,,,,,,9,12
21,2025-08-01T02:27:08Z,Young,2561,2572,3641,240.257,1.73,0.12,0.24,,,,,,,,,,,,,9,12
22,2025-08-01T02:27:08Z,Full,2572,1331,3641,324.812,2.36,0.0,0.33,,,,,,,,,,,,,9,12
23,2025-08-01T02:27:08Z,Young,1786,1564,3641,81.564,0.6,0.04,0.08,,,,,,,,,,,,,9,12
24,2025-08-01T02:27:09Z,Young,2019,2029,3641,165.441,1.18,0.09,0.17,,,,,,,,,,,,,9,12
25,2025-08-01T02:27:09Z,Young,2484,2350,3641,206.846,1.5,0.12,0.2,,,,,,,,,,,,,9,12
26,2025-08-01T02:27:09Z,Young,2805,2817,3641,220.669,1.37,0.3,0.22,,,,,,,,,,,,,9,12
27,2025-08-01T02:27:10Z,Full,2817,1343,3641,666.881,2.45,2.67,0.67,,,,,,,,,,,,,9,12
28,2025-08-01T02:27:10Z,Young,1798,1603,3641,97.323,0.67,0.09,0.1,,,,,,,,,,,,,9,12
29,2025-08-01T02:27:10Z,Young,2058,2065,3641,148.335,1.12,0.02,0.15,,,,,,,,,,,,,9,12
30,2025-08-01T02:27:11Z,Young,2520,2378,3641,192.129,1.36,0.11,0.2,,,,,,,,,,,,,9,12
