gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time,eden_before,eden_after,eden_total,from_before,from_after,from_total,tenured_before,tenured_after,tenured_total,metaspace_used,metaspace_committed
0,2025-08-01T02:44:29Z,Young,1092,961,3959,2015.497,0.84,1.17,2.01,,,,,,,,,,9.0,12.0
1,2025-08-01T02:44:30Z,Young,2054,1055,3959,471.171,0.2,0.28,0.47,,,,,,,,,,9.0,12.0
2,2025-08-01T02:44:32Z,Young,2147,2130,3959,2422.713,1.04,1.38,2.42,,,,,,,,,,9.0,12.0
3,2025-08-01T02:44:33Z,Young,3222,575,3959,820.654,0.82,0.01,0.82,,,,,,,,,,9.0,12.0
4,2025-08-01T02:44:33Z,Full,3222,575,3959,820.352,,,,,,,,,,,,,,
5,2025-08-01T02:44:34Z,Young,1668,1125,3959,378.619,0.38,0.0,0.38,,,,,,,,,,9.0,12.0
6,2025-08-01T02:44:35Z,Young,2217,1908,3959,631.77,0.64,0.0,0.63,,,,,,,,,,9.0,12.0
7,2025-08-01T02:44:36Z,Young,3000,220,3959,625.47,0.63,0.0,0.63,,,,,,,,,,9.0,12.0
8,2025-08-01T02:44:36Z,Full,3000,220,3959,625.284,,,,,,,,,,,,,,
9,2025-08-01T02:44:37Z,Young,1312,1303,3959,738.166,0.74,0.0,0.74,,,,,,,,,,9.0,12.0
10,2025-08-01T02:44:37Z,Young,2395,1749,3959,351.54,0.35,0.0,0.35,,,,,,,,,,9.0,12.0
11,2025-08-01T02:44:39Z,Young,2841,772,3959,1040.995,1.04,0.0,1.04,,,,,,,,,,9.0,12.0
12,2025-08-01T02:44:39Z,Full,2841,772,3959,1040.794,,,,,,,,,,,,,,
13,2025-08-01T02:44:40Z,Young,1865,1723,3959,608.231,0.61,0.0,0.61,,,,,,,,,,9.0,12.0
14,2025-08-01T02:44:40Z,Young,2815,228,3959,605.531,0.61,0.01,0.6,,,,,,,,,,9.0,12.0
15,2025-08-01T02:44:40Z,Full,2815,228,3959,605.389,,,,,,,,,,,,,,
16,2025-08-01T02:44:41Z,Young,1321,1307,3959,730.808,0.73,0.0,0.73,,,,,,,,,,9.0,12.0
17,2025-08-01T02:44:42Z,Young,2400,1752,3959,373.589,0.37,0.0,0.37,,,,,,,,,,9.0,12.0
18,2025-08-01T02:44:43Z,Young,2845,774,3959,1030.008,1.04,0.0,1.03,,,,,,,,,,9.0,12.0
19,2025-08-01T02:44:43Z,Full,2845,774,3959,1029.835,,,,,,,,,,,,,,
20,2025-08-01T02:44:44Z,Young,1866,1732,3959,613.492,0.61,0.0,0.61,,,,,,,,,,9.0,12.0
21,2025-08-01T02:44:45Z,Young,2824,270,3959,688.538,0.69,0.0,0.68,,,,,,,,,,9.0,12.0
22,2025-08-01T02:44:45Z,Full,2824,270,3959,688.342,,,,,,,,,,,,,,
23,2025-08-01T02:44:46Z,Young,1362,1357,3959,660.895,0.67,0.0,0.66,,,,,,,,,,9.0,12.0
24,2025-08-01T02:44:46Z,Young,2449,1809,3959,378.33,0.38,0.0,0.38,,,,,,,,,,9.0,12.0
25,2025-08-01T02:44:48Z,Young,2901,903,3959,1050.95,1.06,0.0,1.05,,,,,,,,,,9.0,12.0
26,2025-08-01T02:44:48Z,Full,2901,903,3959,1050.719,,,,,,,,,,,,,,
27,2025-08-01T02:44:48Z,Young,1996,1854,3959,576.301,0.58,0.0,0.57,,,,,,,,,,9.0,12.0
28,2025-08-01T02:44:49Z,Young,2947,243,3959,600.944,0.6,0.0,0.6,,,,,,,,,,9.0,12.0
29,2025-08-01T02:44:49Z,Full,2947,243,3959,600.755,,,,,,,,,,,,,,
30,2025-08-01T02:44:50Z,Young,1335,1320,3959,720.495,0.72,0.0,0.72,,,,,,,,,,9.0,12.0
31,2025-08-01T02:44:51Z,Young,2413,1783,3959,414.543,0.42,0.0,0.41,,,,,,,,,,9.0,12.0
32,2025-08-01T02:44:52Z,Young,2875,877,3959,1033.132,1.04,0.0,1.03,,,,,,,,,,9.0,12.0
33,2025-08-01T02:44:52Z,Full,2875,877,3959,1032.71,,,,,,,,,,,,,,
34,2025-08-01T02:44:53Z,Young,1969,1840,3959,669.338,0.66,0.0,0.67,,,,,,,,,,9.0,12.0
35,2025-08-01T02:44:54Z,Young,2932,378,3959,635.617,0.64,0.0,0.63,,,,,,,,,,9.0,12.0
36,2025-08-01T02:44:54Z,Full,2932,378,3959,635.411,,,,,,,,,,,,,,
37,2025-08-01T02:44:55Z,Young,1470,1467,3959,777.144,0.78,0.01,0.78,,,,,,,,,,9.0,12.0
38,2025-08-01T02:44:55Z,Young,2560,1931,3959,363.551,0.36,0.0,0.36,,,,,,,,,,9.0,12.0
39,2025-08-01T02:44:57Z,Young,3024,929,3959,989.23,0.99,0.01,0.99,,,,,,,,,,9.0,12.0
40,2025-08-01T02:44:57Z,Full,3024,929,3959,988.978,,,,,,,,,,,,,,
41,2025-08-01T02:44:57Z,Young,2021,1893,3959,622.325,0.62,0.0,0.62,,,,,,,,,,9.0,12.0
42,2025-08-01T02:44:58Z,Young,2985,257,3959,660.606,0.66,0.01,0.66,,,,,,,,,,9.0,12.0
43,2025-08-01T02:44:58Z,Full,2985,257,3959,660.414,,,,,,,,,,,,,,
44,2025-08-01T02:44:59Z,Young,1349,1335,3959,698.932,0.7,0.0,0.7,,,,,,,,,,9.0,12.0
45,2025-08-01T02:45:00Z,Young,2427,1811,3959,444.162,0.44,0.0,0.45,,,,,,,,,,9.0,12.0
46,2025-08-01T02:45:01Z,Young,2904,921,3959,1026.522,1.03,0.0,1.02,,,,,,,,,,9.0,12.0
47,2025-08-01T02:45:01Z,Full,2904,921,3959,1026.347,,,,,,,,,,,,,,
48,2025-08-01T02:45:02Z,Young,2013,1898,3959,623.805,0.62,0.01,0.62,,,,,,,,,,9.0,12.0
49,2025-08-01T02:45:03Z,Young,2990,383,3959,594.666,0.59,0.0,0.6,,,,,,,,,,9.0,12.0
50,2025-08-01T02:45:03Z,Full,2990,383,3959,594.48,,,,,,,,,,,,,,
51,2025-08-01T02:45:04Z,Young,1475,1472,3959,654.329,0.65,0.0,0.66,,,,,,,,,,9.0,12.0
52,2025-08-01T02:45:04Z,Young,2565,1950,3959,391.848,0.39,0.0,0.39,,,,,,,,,,9.0,12.0
53,2025-08-01T02:45:06Z,Young,3042,940,3959,1026.095,1.03,0.0,1.03,,,,,,,,,,9.0,12.0
54,2025-08-01T02:45:06Z,Full,3042,940,3959,1025.836,,,,,,,,,,,,,,
55,2025-08-01T02:45:06Z,Young,2033,1918,3959,668.764,0.68,0.0,0.67,,,,,,,,,,9.0,12.0
56,2025-08-01T02:45:07Z,Young,3010,271,3959,614.033,0.61,0.01,0.61,,,,,,,,,,9.0,12.0
57,2025-08-01T02:45:07Z,Full,3010,271,3959,613.845,,,,,,,,,,,,,,
58,2025-08-01T02:45:08Z,Young,1363,1349,3959,620.427,0.63,0.0,0.63,,,,,,,,,,9.0,12.0
59,2025-08-01T02:45:09Z,Young,2442,1839,3959,352.946,0.35,0.0,0.36,,,,,,,,,,9.0,12.0
60,2025-08-01T02:45:10Z,Young,2932,893,3959,1032.821,1.03,0.01,1.03,,,,,,,,,,9.0,12.0
61,2025-08-01T02:45:10Z,Full,2932,893,3959,1032.599,,,,,,,,,,,,,,
62,2025-08-01T02:45:11Z,Young,1985,1881,3959,673.509,0.67,0.0,0.67,,,,,,,,,,9.0,12.0
63,2025-08-01T02:45:12Z,Young,2974,402,3959,783.24,0.78,0.01,0.79,,,,,,,,,,9.0,12.0
64,2025-08-01T02:45:12Z,Full,2974,402,3959,783.002,,,,,,,,,,,,,,
65,2025-08-01T02:45:13Z,Young,1495,1492,3959,711.773,0.71,0.0,0.71,,,,,,,,,,9.0,12.0
66,2025-08-01T02:45:13Z,Young,2584,1981,3959,393.998,0.39,0.0,0.4,,,,,,,,,,9.0,12.0
67,2025-08-01T02:45:14Z,Young,3074,501,3959,793.996,0.79,0.0,0.79,,,,,,,,,,9.0,12.0
68,2025-08-01T02:45:14Z,Full,3074,501,3959,793.696,,,,,,,,,,,,,,
69,2025-08-01T02:45:15Z,Young,1594,1492,3959,694.4,0.69,0.01,0.69,,,,,,,,,,9.0,12.0
70,2025-08-01T02:45:16Z,Young,2584,1629,3959,181.147,0.18,0.0,0.18,,,,,,,,,,9.0,12.0
71,2025-08-01T02:45:18Z,Young,2721,2716,3959,1716.269,0.99,0.74,1.72,,,,,,,,,,9.0,12.0
72,2025-08-01T02:45:19Z,Young,3809,641,3959,1006.363,1.01,0.0,1.0,,,,,,,,,,9.0,12.0
73,2025-08-01T02:45:19Z,Full,3809,641,3959,1006.114,,,,,,,,,,,,,,
74,2025-08-01T02:45:19Z,Young,1733,915,3959,201.151,0.2,0.0,0.2,,,,,,,,,,9.0,12.0
75,2025-08-01T02:45:20Z,Young,2007,1767,3959,696.516,0.7,0.0,0.7,,,,,,,,,,9.0,12.0
76,2025-08-01T02:45:21Z,Young,2859,807,3959,1005.241,1.0,0.01,1.01,,,,,,,,,,9.0,12.0
77,2025-08-01T02:45:21Z,Full,2859,807,3959,1005.039,,,,,,,,,,,,,,
78,2025-08-01T02:45:22Z,Young,1899,1881,3959,730.415,0.73,0.0,0.73,,,,,,,,,,9.0,12.0
79,2025-08-01T02:45:23Z,Young,2973,712,3959,908.143,0.9,0.01,0.91,,,,,,,,,,9.0,12.0
80,2025-08-01T02:45:23Z,Full,2973,712,3959,907.993,,,,,,,,,,,,,,
81,2025-08-01T02:45:24Z,Young,1804,987,3959,192.97,0.19,0.0,0.19,,,,,,,,,,9.0,12.0
82,2025-08-01T02:45:25Z,Young,2080,1839,3959,672.081,0.68,0.0,0.68,,,,,,,,,,9.0,12.0
83,2025-08-01T02:45:26Z,Young,2932,808,3959,973.03,0.98,0.01,0.98,,,,,,,,,,9.0,12.0
84,2025-08-01T02:45:26Z,Full,2932,808,3959,972.841,,,,,,,,,,,,,,
85,2025-08-01T02:45:27Z,Young,1901,1888,3959,783.128,0.77,0.02,0.78,,,,,,,,,,9.0,12.0
86,2025-08-01T02:45:28Z,Young,2981,635,3959,881.624,0.88,0.0,0.88,,,,,,,,,,9.0,12.0
87,2025-08-01T02:45:28Z,Full,2981,635,3959,881.419,,,,,,,,,,,,,,
88,2025-08-01T02:45:28Z,Young,1728,912,3959,164.62,0.16,0.0,0.17,,,,,,,,,,9.0,12.0
89,2025-08-01T02:45:29Z,Young,2004,1767,3959,667.68,0.67,0.0,0.66,,,,,,,,,,9.0,12.0
90,2025-08-01T02:45:30Z,Young,2859,405,3959,759.147,0.76,0.0,0.76,,,,,,,,,,9.0,12.0
91,2025-08-01T02:45:30Z,Full,2859,405,3959,758.97,,,,,,,,,,,,,,
92,2025-08-01T02:45:31Z,Young,1498,1486,3959,813.581,0.82,0.0,0.81,,,,,,,,,,9.0,12.0
93,2025-08-01T02:45:32Z,Young,2579,1988,3959,452.271,0.45,0.0,0.45,,,,,,,,,,9.0,12.0
94,2025-08-01T02:45:33Z,Young,3081,505,3959,787.233,0.79,0.01,0.79,,,,,,,,,,9.0,12.0
95,2025-08-01T02:45:33Z,Full,3081,505,3959,787.033,,,,,,,,,,,,,,
96,2025-08-01T02:45:34Z,Young,1597,1503,3959,849.209,0.86,0.0,0.85,,,,,,,,,,9.0,12.0
97,2025-08-01T02:45:35Z,Young,2595,1637,3959,189.457,0.19,0.0,0.18,,,,,,,,,,9.0,12.0
98,2025-08-01T02:45:36Z,Young,2729,2720,3959,921.899,0.91,0.01,0.92,,,,,,,,,,9.0,12.0
99,2025-08-01T02:45:37Z,Young,3812,778,3959,1291.093,1.3,0.0,1.29,,,,,,,,,,9.0,12.0
100,2025-08-01T02:45:37Z,Full,3812,778,3959,1290.712,,,,,,,,,,,,,,
101,2025-08-01T02:45:38Z,Young,1870,1051,3959,205.895,0.21,0.0,0.21,,,,,,,,,,9.0,12.0
102,2025-08-01T02:45:39Z,Young,2143,1910,3959,670.861,0.68,0.0,0.67,,,,,,,,,,9.0,12.0
103,2025-08-01T02:45:40Z,Young,3003,288,3959,726.601,0.72,0.0,0.73,,,,,,,,,,9.0,12.0
104,2025-08-01T02:45:40Z,Full,3003,288,3959,726.422,,,,,,,,,,,,,,
105,2025-08-01T02:45:41Z,Young,1380,1364,3959,762.824,0.76,0.0,0.76,,,,,,,,,,9.0,12.0
106,2025-08-01T02:45:41Z,Young,2457,1858,3959,381.98,0.39,0.0,0.38,,,,,,,,,,9.0,12.0
107,2025-08-01T02:45:43Z,Young,2950,931,3959,1073.055,1.07,0.0,1.07,,,,,,,,,,9.0,12.0
108,2025-08-01T02:45:43Z,Full,2950,931,3959,1072.833,,,,,,,,,,,,,,
109,2025-08-01T02:45:44Z,Young,2024,1924,3959,705.817,0.71,0.0,0.7,,,,,,,,,,9.0,12.0
110,2025-08-01T02:45:45Z,Young,3016,397,3959,710.061,0.72,0.0,0.71,,,,,,,,,,9.0,12.0
111,2025-08-01T02:45:45Z,Full,3016,397,3959,709.87,,,,,,,,,,,,,,
112,2025-08-01T02:45:46Z,Young,1489,1486,3959,749.643,0.75,0.0,0.75,,,,,,,,,,9.0,12.0
113,2025-08-01T02:45:46Z,Young,2578,1989,3959,519.287,0.52,0.0,0.52,,,,,,,,,,9.0,12.0
114,2025-08-01T02:45:47Z,Young,3079,3079,3959,0.218,0.0,0.0,0.0,,,,,,,,,,9.0,12.0
115,2025-08-01T02:45:47Z,Full,3079,377,3959,817.806,0.82,0.0,0.82,,,,,,,,,,9.0,12.0
116,2025-08-01T02:45:48Z,Young,1469,1373,3959,664.151,0.67,0.0,0.66,,,,,,,,,,9.0,12.0
117,2025-08-01T02:45:49Z,Young,2465,1508,3959,217.396,0.22,0.0,0.22,,,,,,,,,,9.0,12.0
118,2025-08-01T02:45:50Z,Young,2600,2590,3959,935.148,0.93,0.01,0.93,,,,,,,,,,9.0,12.0
119,2025-08-01T02:45:51Z,Young,3682,643,3959,1146.258,1.14,0.0,1.14,,,,,,,,,,9.0,12.0
120,2025-08-01T02:45:51Z,Full,3682,643,3959,1146.11,,,,,,,,,,,,,,
121,2025-08-01T02:45:52Z,Young,1735,913,3959,216.542,0.22,0.0,0.22,,,,,,,,,,9.0,12.0
