gc_id,timestamp,gc_type,heap_before_mb,heap_after_mb,heap_total_mb,pause_ms,concurrent_ms,user_time,sys_time,real_time,metaspace_used_mb,reclaimed_mb,live_mb,allocated_mb,garbage_mb
0,2025-08-01T14:51:14.131,Normal) (G1 Evacuation Pause) 205M->181M(4096M,205.0,181.0,4096.0,69.383,,0.18,0.24,0.07,10.398,,,,
1,2025-08-01T14:51:14.222,Normal) (G1 Evacuation Pause) 359M->361M(4096M,359.0,361.0,4096.0,81.156,,0.28,0.33,0.09,10.407,,,,
2,2025-08-01T14:51:14.362,Normal) (G1 Evacuation Pause) 539M->542M(4096M,539.0,542.0,4096.0,74.946,,0.25,0.32,0.08,10.407,,,,
3,2025-08-01T14:51:14.454,Normal) (G1 Evacuation Pause) 720M->724M(4096M,720.0,724.0,4096.0,67.178,,0.22,0.29,0.06,10.407,,,,
4,2025-08-01T14:51:14.588,Normal) (G1 Evacuation Pause) 902M->903M(4096M,902.0,903.0,4096.0,119.407,,0.35,0.55,0.12,10.407,,,,
5,2025-08-01T14:51:14.726,Normal) (G1 Evacuation Pause) 1081M->1085M(4096M,1081.0,1085.0,4096.0,84.432,,0.23,0.41,0.08,10.407,,,,
6,2025-08-01T14:51:14.875,Normal) (G1 Evacuation Pause) 1263M->1266M(4096M,1263.0,1266.0,4096.0,100.388,,0.25,0.52,0.1,10.407,,,,
7,2025-08-01T14:51:14.990,Normal) (G1 Evacuation Pause) 1444M->1448M(4096M,1444.0,1448.0,4096.0,66.883,,0.18,0.31,0.07,10.407,,,,
8,2025-08-01T14:51:15.123,Normal) (G1 Evacuation Pause) 1626M->1599M(4096M,1626.0,1599.0,4096.0,58.649,,0.2,0.24,0.05,10.407,,,,
9,2025-08-01T14:51:15.198,Normal) (G1 Evacuation Pause) 1777M->1782M(4096M,1777.0,1782.0,4096.0,70.008,,0.23,0.32,0.07,10.407,,,,
10,2025-08-01T14:51:15.335,Normal) (G1 Evacuation Pause) 1960M->1863M(4096M,1960.0,1863.0,4096.0,49.788,,0.17,0.18,0.05,10.407,,,,
11,2025-08-01T14:51:15.404,Normal) (G1 Evacuation Pause) 2041M->2045M(4096M,2041.0,2045.0,4096.0,72.854,,0.25,0.31,0.07,10.407,,,,
12,2025-08-01T14:51:15.543,Concurrent Start) (G1 Evacuation Pause) 2223M->2226M(4096M,2223.0,2226.0,4096.0,128.837,128.837,0.43,0.57,0.13,10.407,,,,
14,2025-08-01T14:51:15.688,Normal) (G1 Evacuation Pause) 2404M->2406M(4096M,2404.0,2406.0,4096.0,76.908,,0.25,0.28,0.08,10.407,,,,
15,2025-08-01T14:51:15.833,Normal) (G1 Evacuation Pause) 2610M->2615M(4096M,2610.0,2615.0,4096.0,110.982,,0.35,0.5,0.11,10.407,,,,
16,2025-08-01T14:51:15.967,Normal) (G1 Evacuation Pause) 2837M->2840M(4096M,2837.0,2840.0,4096.0,98.179,,0.3,0.45,0.1,10.407,,,,
17,2025-08-01T14:51:16.137,Normal) (G1 Evacuation Pause) 1442M->1446M(4096M,1442.0,1446.0,4096.0,58.729,,0.38,0.08,0.06,10.407,,,,
18,2025-08-01T14:51:16.277,Normal) (G1 Evacuation Pause) 1738M->1699M(4096M,1738.0,1699.0,4096.0,65.818,,0.36,0.13,0.06,10.407,,,,
19,2025-08-01T14:51:16.434,Prepare Mixed) (G1 Evacuation Pause) 2035M->1795M(4096M,2035.0,1795.0,4096.0,46.841,,0.21,0.14,0.04,10.407,,,,
20,2025-08-01T14:51:16.586,Mixed) (G1 Evacuation Pause) 2187M->2170M(4096M,2187.0,2170.0,4096.0,131.941,,0.67,0.33,0.13,10.407,,,,
21,2025-08-01T14:51:16.810,Normal) (G1 Evacuation Pause) 2530M->2534M(4096M,2530.0,2534.0,4096.0,86.57,,0.55,0.1,0.09,10.407,,,,
22,2025-08-01T14:51:16.995,Normal) (G1 Evacuation Pause) 2936M->2940M(4096M,2936.0,2940.0,4096.0,95.631,,0.54,0.19,0.09,10.407,,,,
23,2025-08-01T14:51:17.174,Normal) (G1 Evacuation Pause) 3300M->3224M(4096M,3300.0,3224.0,4096.0,98.222,,0.38,0.38,0.09,10.407,,,,
24,2025-08-01T14:51:17.345,Concurrent Start) (G1 Evacuation Pause) 3496M->3270M(4096M,3496.0,3270.0,4096.0,46.973,46.973,0.18,0.17,0.04,10.407,,,,
26,2025-08-01T14:51:17.417,Normal) (G1 Evacuation Pause) 3544M->3548M(4096M,3544.0,3548.0,4096.0,113.451,,0.41,0.49,0.11,10.407,,,,
27,2025-08-01T14:51:17.597,Prepare Mixed) (G1 Evacuation Pause) 712M->716M(4096M,712.0,716.0,4096.0,42.9,,0.31,0.0,0.04,10.407,,,,
28,2025-08-01T14:51:17.746,Mixed) (G1 Evacuation Pause) 1226M->1206M(4096M,1226.0,1206.0,4096.0,115.787,,0.74,0.16,0.11,10.407,,,,
