gc_id,timestamp,gc_type,heap_before_mb,heap_after_mb,heap_total_mb,pause_ms,concurrent_ms,user_time,sys_time,real_time,metaspace_used_mb,reclaimed_mb,live_mb,allocated_mb,garbage_mb
0,2025-08-01T14:44:07.303,Warmup,852.0,470.0,852.0,0.013,193.50300000000001,,,,10.0,0.0,398.0,374.0,71.0
1,2025-08-01T14:44:07.595,Warmup,1590.0,1032.0,1590.0,0.012,345.30299999999994,,,,10.0,0.0,951.0,558.0,80.0
2,2025-08-01T14:44:07.993,Warmup,1230.0,1210.0,1230.0,0.017,193.823,,,,10.0,796.0,773.0,362.0,870.0
3,2025-08-01T14:44:08.293,Allocation Rate,962.0,960.0,962.0,0.016,133.893,,,,10.0,1032.0,371.0,474.0,1110.0
4,2025-08-01T14:44:08.993,Allocation Rate,766.0,750.0,766.0,0.022,155.922,,,,10.0,1818.0,419.0,250.0,1904.0
5,2025-08-01T14:44:09.594,Allocation Rate,1072.0,1064.0,1072.0,0.022,171.72499999999997,,,,10.0,1828.0,698.0,278.0,1907.0
6,2025-08-01T14:44:10.193,Allocation Rate,1322.0,1316.0,1322.0,0.017,222.65000000000003,,,,10.0,1824.0,766.0,454.0,1909.0
7,2025-08-01T14:44:10.794,Allocation Rate,1636.0,1622.0,1636.0,0.018,273.23199999999997,,,,10.0,1826.0,834.0,700.0,1909.0
8,2025-08-01T14:44:11.294,Allocation Rate,1268.0,1258.0,1268.0,0.02,187.69600000000003,,,,10.0,1826.0,468.0,662.0,1905.0
9,2025-08-01T14:44:11.894,Allocation Rate,1686.0,1680.0,1686.0,0.018,195.75,,,,10.0,1826.0,789.0,784.0,1908.0
10,2025-08-01T14:44:12.294,Allocation Rate,1702.0,1702.0,1702.0,0.016,231.161,,,,10.0,1848.0,705.0,908.0,1928.0
11,2025-08-01T14:44:12.593,Allocation Rate,924.0,916.0,924.0,0.019,105.104,,,,10.0,1578.0,334.0,454.0,1651.0
12,2025-08-01T14:44:12.793,Allocation Rate,1374.0,1354.0,1374.0,0.02,160.71699999999996,,,,10.0,666.0,621.0,584.0,738.0
13,2025-08-01T14:44:13.094,Allocation Rate,1326.0,1324.0,1326.0,0.017,147.84800000000007,,,,10.0,1400.0,518.0,690.0,1475.0
14,2025-08-01T14:44:13.493,Allocation Rate,1346.0,1332.0,1346.0,0.018,153.828,,,,10.0,1860.0,560.0,738.0,1907.0
15,2025-08-01T14:44:13.993,Allocation Rate,932.0,898.0,932.0,0.025,111.28599999999999,,,,10.0,2626.0,378.0,448.0,2705.0
16,2025-08-01T14:44:14.493,Allocation Rate,1162.0,1152.0,1162.0,0.015,138.35999999999999,,,,10.0,2382.0,454.0,638.0,2425.0
17,2025-08-01T14:44:14.994,Allocation Rate,1328.0,1324.0,1328.0,0.015,166.69600000000005,,,,10.0,2292.0,652.0,610.0,2335.0
18,2025-08-01T14:44:15.393,Allocation Rate,1676.0,1668.0,1676.0,0.141,214.87900000000002,,,,10.0,1790.0,693.0,866.0,1838.0
19,2025-08-01T14:44:15.693,Allocation Rate,1226.0,1188.0,1226.0,0.02,146.421,,,,10.0,1414.0,561.0,488.0,1458.0
20,2025-08-01T14:44:16.093,Allocation Rate,982.0,968.0,982.0,0.015,127.18900000000001,,,,10.0,1830.0,425.0,510.0,1876.0
21,2025-08-01T14:44:16.594,Allocation Rate,1574.0,1566.0,1574.0,0.017,214.18899999999996,,,,10.0,2098.0,703.0,798.0,2148.0
22,2025-08-01T14:44:16.894,Allocation Rate,1106.0,1094.0,1106.0,0.021,132.451,,,,10.0,1558.0,432.0,610.0,1603.0
23,2025-08-01T14:44:17.293,Allocation Rate,1364.0,1362.0,1364.0,0.015,159.267,,,,10.0,1832.0,624.0,600.0,1875.0
24,2025-08-01T14:44:17.693,Allocation Rate,1252.0,1244.0,1252.0,0.014,140.579,,,,10.0,1836.0,550.0,658.0,1879.0
25,2025-08-01T14:44:18.193,Allocation Rate,1058.0,1050.0,1058.0,0.074,116.39800000000002,,,,10.0,2490.0,470.0,548.0,2529.0
26,2025-08-01T14:44:18.694,Allocation Rate,808.0,792.0,808.0,0.021,100.72899999999998,,,,10.0,2546.0,339.0,410.0,2594.0
27,2025-08-01T14:44:19.293,Allocation Rate,1486.0,1482.0,1486.0,0.04,173.45999999999998,,,,10.0,2300.0,697.0,670.0,2344.0
28,2025-08-01T14:44:19.693,Allocation Rate,1256.0,1250.0,1256.0,0.02,149.84400000000002,,,,10.0,1832.0,523.0,686.0,1876.0
29,2025-08-01T14:44:20.193,Allocation Rate,1586.0,1576.0,1586.0,0.017,197.96000000000004,,,,10.0,1958.0,712.0,830.0,2001.0
30,2025-08-01T14:44:20.594,Allocation Rate,1812.0,1798.0,1812.0,0.018,222.43300000000002,,,,10.0,1704.0,901.0,862.0,1752.0
31,2025-08-01T14:44:20.894,Allocation Rate,698.0,690.0,698.0,0.069,90.222,,,,10.0,1838.0,288.0,370.0,1877.0
32,2025-08-01T14:44:21.294,Allocation Rate,696.0,694.0,696.0,0.12,128.148,,,,10.0,1836.0,288.0,370.0,1873.0
33,2025-08-01T14:44:21.794,Allocation Rate,1532.0,1520.0,1532.0,0.017,167.02400000000003,,,,10.0,1832.0,684.0,802.0,1877.0
34,2025-08-01T14:44:22.194,Allocation Rate,1562.0,1546.0,1562.0,0.021,242.578,,,,10.0,1892.0,635.0,876.0,1942.0
35,2025-08-01T14:44:22.492,Allocation Rate,784.0,764.0,784.0,0.018,123.11,,,,10.0,1502.0,352.0,378.0,1555.0
36,2025-08-01T14:44:22.995,Allocation Rate,848.0,842.0,848.0,0.02,93.46000000000001,,,,10.0,2084.0,337.0,404.0,2130.0
37,2025-08-01T14:44:23.493,Allocation Rate,1924.0,1920.0,1924.0,0.075,236.962,,,,10.0,1830.0,921.0,932.0,1880.0
