gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time,young_before,young_after,young_total,old_before,old_after,old_total,humongous_alloc
0,2025-08-01T01:06:37Z,Young,205.0,183.0,4096.0,113.78,0.28,0.46,0.11,205.0,183.0,4096.0,,,,
1,2025-08-01T01:06:37Z,Young,361.0,362.0,4096.0,53.941,0.18,0.24,0.05,361.0,362.0,4096.0,,,,
2,2025-08-01T01:06:37Z,Young,540.0,542.0,4096.0,92.796,0.29,0.36,0.09,540.0,542.0,4096.0,,,,
3,2025-08-01T01:06:37Z,Young,720.0,723.0,4096.0,63.572,0.19,0.3,0.06,720.0,723.0,4096.0,,,,
4,2025-08-01T01:06:37Z,Young,901.0,904.0,4096.0,87.953,0.3,0.39,0.09,901.0,904.0,4096.0,,,,
5,2025-08-01T01:06:38Z,Young,1082.0,1086.0,4096.0,66.519,0.22,0.3,0.06,1082.0,1086.0,4096.0,,,,
6,2025-08-01T01:06:38Z,Young,1264.0,1268.0,4096.0,106.61,0.37,0.45,0.11,1264.0,1268.0,4096.0,,,,
7,2025-08-01T01:06:38Z,Young,1446.0,1449.0,4096.0,71.819,0.22,0.32,0.07,1446.0,1449.0,4096.0,,,,
8,2025-08-01T01:06:38Z,Young,1627.0,1594.0,4096.0,59.797,0.21,0.24,0.06,1627.0,1594.0,4096.0,,,,
9,2025-08-01T01:06:38Z,Young,1772.0,1776.0,4096.0,66.336,0.21,0.3,0.06,1772.0,1776.0,4096.0,,,,
10,2025-08-01T01:06:38Z,Young,1954.0,1874.0,4096.0,33.831,0.13,0.13,0.03,1954.0,1874.0,4096.0,,,,
11,2025-08-01T01:06:38Z,Young,2052.0,2057.0,4096.0,60.268,0.2,0.26,0.06,2052.0,2057.0,4096.0,,,,
12,2025-08-01T01:06:39Z,Cleanup,1208.0,1208.0,4096.0,1.786,0.0,0.0,0.0,,,,,,,
13,2025-08-01T01:06:38Z,Young,2235.0,2239.0,4096.0,98.84,0.32,0.44,0.09,2235.0,2239.0,4096.0,,,,
14,2025-08-01T01:06:38Z,Young,2417.0,2421.0,4096.0,78.406,0.23,0.38,0.08,2417.0,2421.0,4096.0,,,,
15,2025-08-01T01:06:39Z,Young,953.0,956.0,4096.0,32.749,0.24,0.0,0.04,953.0,956.0,4096.0,,,,
16,2025-08-01T01:06:39Z,Young,1306.0,1307.0,4096.0,61.279,0.4,0.07,0.06,1306.0,1307.0,4096.0,,,,
17,2025-08-01T01:06:39Z,Young,1463.0,1452.0,4096.0,34.01,0.25,0.01,0.03,1463.0,1452.0,4096.0,,,,
18,2025-08-01T01:06:39Z,Young,1718.0,1661.0,4096.0,40.043,0.26,0.03,0.04,1718.0,1661.0,4096.0,,,,
19,2025-08-01T01:06:39Z,Young,1973.0,1739.0,4096.0,31.374,0.18,0.04,0.03,1973.0,1739.0,4096.0,,,,
20,2025-08-01T01:06:39Z,Young,2117.0,2118.0,4096.0,92.294,0.5,0.21,0.1,2117.0,2118.0,4096.0,,,,
21,2025-08-01T01:06:39Z,Young,2518.0,2522.0,4096.0,129.962,0.63,0.37,0.13,2518.0,2522.0,4096.0,,,,
22,2025-08-01T01:06:41Z,Cleanup,2240.0,2240.0,4096.0,0.673,0.0,0.0,0.0,,,,,,,
