gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time,eden_before,eden_after,eden_total,from_before,from_after,from_total,to_before,to_after,to_total,old_before,old_after,old_total,metaspace_used,metaspace_committed
0,2025-08-01T01:18:26Z,Young,1024,961,3925,338.313,0.68,1.9,0.34,1024,0,1024,0,170,170,,,,,,,9,10
1,2025-08-01T01:18:27Z,Young,1985,886,3925,121.801,0.29,0.63,0.12,1024,0,1024,170,94,170,,,,,,,9,10
2,2025-08-01T01:18:28Z,Young,1910,1970,3925,452.034,1.08,2.5,0.46,1024,0,1024,94,170,170,,,,,,,9,10
3,2025-08-01T01:18:28Z,Full,2994,300,3925,387.868,0.74,1.49,0.38,1024,0,1024,170,0,170,,,,,,,9,10
4,2025-08-01T01:18:29Z,Young,1324,1391,3925,186.483,1.34,0.08,0.19,1024,0,1024,0,170,170,,,,,,,9,10
5,2025-08-01T01:18:29Z,Young,2415,1769,3356,206.248,1.0,0.61,0.21,1024,0,455,170,170,170,,,,,,,9,10
6,2025-08-01T01:18:29Z,Young,2224,2240,3641,105.195,0.79,0.03,0.11,455,0,455,170,455,455,,,,,,,9,10
7,2025-08-01T01:18:29Z,Young,2695,2728,3641,267.335,0.94,1.12,0.26,455,0,455,455,455,455,,,,,,,9,10
8,2025-08-01T01:18:30Z,Full,3183,981,3641,357.317,1.6,0.85,0.36,455,0,455,455,0,455,,,,,,,9,10
9,2025-08-01T01:18:30Z,Young,1436,1372,3641,119.524,0.9,0.04,0.12,455,0,455,0,391,455,,,,,,,9,10
10,2025-08-01T01:18:30Z,Young,1827,1858,3641,135.466,1.06,0.02,0.13,455,0,455,391,455,455,,,,,,,9,10
11,2025-08-01T01:18:31Z,Young,2313,1980,3641,126.517,0.83,0.11,0.12,455,0,455,455,455,455,,,,,,,9,10
12,2025-08-01T01:18:31Z,Young,2435,2307,3641,178.199,1.29,0.1,0.18,455,0,455,455,413,455,,,,,,,9,10
13,2025-08-01T01:18:31Z,Full,2762,542,3641,209.765,1.3,0.18,0.21,455,0,455,413,0,455,,,,,,,9,10
14,2025-08-01T01:18:31Z,Young,997,1003,3641,77.629,0.59,0.02,0.07,455,0,455,0,455,455,,,,,,,9,10
15,2025-08-01T01:18:32Z,Young,1458,1268,3641,132.785,0.96,0.09,0.13,455,0,455,455,357,455,,,,,,,9,10
16,2025-08-01T01:18:32Z,Young,1723,1596,3641,118.135,0.88,0.05,0.12,455,0,455,357,436,455,,,,,,,9,10
17,2025-08-01T01:18:32Z,Young,2051,1724,3641,153.241,1.1,0.09,0.15,455,0,455,436,337,455,,,,,,,9,10
18,2025-08-01T01:18:32Z,Young,2179,2207,3641,180.944,1.35,0.07,0.18,455,0,455,337,455,455,,,,,,,9,10
19,2025-08-01T01:18:32Z,Young,2662,2469,3641,154.832,1.1,0.13,0.16,455,0,455,455,371,455,,,,,,,9,10
20,2025-08-01T01:18:33Z,Full,2924,1007,3641,225.665,1.57,0.0,0.22,455,0,455,371,0,455,,,,,,,9,10
