gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time,eden_before,eden_after,eden_total,from_before,from_after,from_total,tenured_before,tenured_after,tenured_total,metaspace_used,metaspace_committed
0,2025-08-01T01:23:48Z,Young,1092,963,3959,2084.587,0.91,1.17,2.09,1092.0,0.0,1092.0,0.0,136.0,136.0,0.0,826.0,2730.0,9.0,10.0
1,2025-08-01T01:23:49Z,Young,2055,1046,3959,443.203,0.21,0.24,0.44,1092.0,0.0,1092.0,136.0,136.0,136.0,826.0,909.0,2730.0,9.0,10.0
2,2025-08-01T01:23:52Z,Young,2138,2110,3959,2439.07,1.14,1.3,2.44,1092.0,0.0,1092.0,136.0,136.0,136.0,909.0,1974.0,2730.0,9.0,10.0
3,2025-08-01T01:23:52Z,Young,3203,3203,3959,0.102,0.0,0.0,0.0,,,,,,,,,,,
4,2025-08-01T01:23:53Z,Full,3203,553,3959,1002.877,1.01,0.0,1.0,1092.0,0.0,1092.0,136.0,0.0,136.0,1974.0,553.0,2730.0,9.0,10.0
5,2025-08-01T01:23:54Z,Young,1646,1344,3959,497.161,0.49,0.0,0.5,1092.0,0.0,1092.0,0.0,136.0,136.0,553.0,1208.0,2730.0,9.0,10.0
6,2025-08-01T01:23:55Z,Young,2436,2111,3959,584.818,0.59,0.0,0.59,1092.0,0.0,1092.0,136.0,136.0,136.0,1208.0,1975.0,2730.0,9.0,10.0
7,2025-08-01T01:23:55Z,Young,3203,3203,3959,0.078,0.0,0.0,0.0,,,,,,,,,,,
8,2025-08-01T01:23:56Z,Full,3203,179,3959,692.155,0.69,0.0,0.69,1092.0,0.0,1092.0,136.0,0.0,136.0,1975.0,179.0,2730.0,9.0,10.0
9,2025-08-01T01:23:57Z,Young,1271,1263,3959,825.349,0.82,0.0,0.82,1092.0,0.0,1092.0,0.0,136.0,136.0,179.0,1127.0,2730.0,9.0,10.0
10,2025-08-01T01:23:57Z,Young,2356,1668,3959,436.122,0.44,0.0,0.43,1092.0,0.0,1092.0,136.0,136.0,136.0,1127.0,1531.0,2730.0,9.0,10.0
11,2025-08-01T01:23:58Z,Young,2760,2760,3959,0.16,0.0,0.0,0.0,,,,,,,,,,,
12,2025-08-01T01:23:59Z,Full,2760,734,3959,1136.919,1.14,0.0,1.14,1092.0,0.0,1092.0,136.0,0.0,136.0,1531.0,734.0,2730.0,9.0,10.0
13,2025-08-01T01:24:00Z,Young,1826,1640,3959,741.057,0.74,0.0,0.74,1092.0,0.0,1092.0,0.0,136.0,136.0,734.0,1504.0,2730.0,9.0,10.0
14,2025-08-01T01:24:00Z,Young,2733,1696,3959,154.374,0.16,0.0,0.15,1092.0,0.0,1092.0,136.0,136.0,136.0,1504.0,1559.0,2730.0,9.0,10.0
15,2025-08-01T01:24:01Z,Young,2788,2788,3959,0.209,0.0,0.0,0.0,,,,,,,,,,,
16,2025-08-01T01:24:02Z,Full,2788,1286,3959,1626.183,1.63,0.0,1.63,1092.0,0.0,1092.0,136.0,0.0,136.0,1559.0,1286.0,2730.0,9.0,10.0
17,2025-08-01T01:24:03Z,Young,2379,1846,3959,470.111,0.47,0.0,0.47,1092.0,0.0,1092.0,0.0,136.0,136.0,1286.0,1710.0,2730.0,9.0,10.0
