gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time,eden_before,eden_after,eden_total,from_before,from_after,from_total,to_before,to_after,to_total,old_before,old_after,old_total,metaspace_used,metaspace_committed
0,2025-08-01T03:41:53Z,Young,1025,889,3925,449.979,0.9,2.59,0.45,1024,0,1024,0,170,170,,,,,,,10,10
1,2025-08-01T03:41:53Z,Young,1913,742,3925,23.414,0.05,0.1,0.02,1024,0,1024,170,22,170,,,,,,,10,10
2,2025-08-01T03:41:54Z,Young,1766,1814,3925,490.626,1.14,2.74,0.49,1024,0,1024,22,170,170,,,,,,,10,10
3,2025-08-01T03:41:54Z,Full,2838,227,3925,404.02,0.52,1.72,0.4,1024,0,1024,170,0,170,,,,,,,10,10
4,2025-08-01T03:41:55Z,Young,1251,1312,3925,233.085,1.75,0.09,0.23,1024,0,1024,0,170,170,,,,,,,10,10
5,2025-08-01T03:41:55Z,Young,2336,1611,3356,235.753,0.96,0.87,0.23,1024,0,455,170,170,170,,,,,,,10,10
6,2025-08-01T03:41:56Z,Young,2066,2081,3641,168.722,1.13,0.18,0.17,455,0,455,170,455,455,,,,,,,10,10
7,2025-08-01T03:41:56Z,Young,2536,2571,3641,315.054,1.11,1.37,0.32,455,0,455,455,455,455,,,,,,,10,10
8,2025-08-01T03:41:56Z,Full,3026,457,3641,323.989,0.89,1.26,0.32,455,0,455,455,0,455,,,,,,,10,10
9,2025-08-01T03:41:57Z,Young,912,917,3641,106.699,0.69,0.15,0.11,455,0,455,0,455,455,,,,,,,10,10
10,2025-08-01T03:41:57Z,Young,1372,1408,3641,203.663,1.58,0.03,0.2,455,0,455,455,455,455,,,,,,,10,10
11,2025-08-01T03:41:57Z,Young,1863,1899,3641,239.407,1.74,0.13,0.24,455,0,455,455,455,455,,,,,,,10,10
12,2025-08-01T03:41:57Z,Young,2354,1453,3641,4.828,0.03,0.0,0.0,455,0,455,455,9,455,,,,,,,10,10
13,2025-08-01T03:41:58Z,Young,1908,1915,3641,125.931,0.8,0.17,0.12,455,0,455,9,455,455,,,,,,,10,10
14,2025-08-01T03:41:58Z,Young,2370,2403,3641,191.87,1.38,0.1,0.2,455,0,455,455,455,455,,,,,,,10,10
