gc_id,timestamp,pause_type,heap_before,heap_after,heap_total,pause_ms,user_time,sys_time,real_time,eden_before,eden_after,eden_total,from_before,from_after,from_total,tenured_before,tenured_after,tenured_total,metaspace_used,metaspace_committed
0,2025-08-01T03:35:04Z,Young,1093,884,3959,1889.953,0.84,1.06,1.89,1092.0,0.0,1092.0,0.0,136.0,136.0,1.0,747.0,2730.0,10.0,10.0
1,2025-08-01T03:35:05Z,Young,1976,880,3959,304.846,0.13,0.17,0.3,1092.0,0.0,1092.0,136.0,131.0,136.0,747.0,748.0,2730.0,10.0,10.0
2,2025-08-01T03:35:08Z,Young,1973,1942,3959,2491.185,1.09,1.4,2.49,1092.0,0.0,1092.0,131.0,136.0,136.0,748.0,1805.0,2730.0,10.0,10.0
3,2025-08-01T03:35:08Z,Young,3034,3034,3959,0.192,0.0,0.0,0.0,,,,,,,,,,,
4,2025-08-01T03:35:09Z,Full,3034,593,3959,900.581,0.9,0.0,0.9,1092.0,0.0,1092.0,136.0,0.0,136.0,1805.0,593.0,2730.0,10.0,10.0
5,2025-08-01T03:35:10Z,Young,1685,1393,3959,533.012,0.53,0.0,0.53,1092.0,0.0,1092.0,0.0,136.0,136.0,593.0,1257.0,2730.0,10.0,10.0
6,2025-08-01T03:35:11Z,Young,2486,2064,3959,720.75,0.57,0.16,0.72,1092.0,0.0,1092.0,136.0,136.0,136.0,1257.0,1928.0,2730.0,10.0,10.0
7,2025-08-01T03:35:11Z,Young,3156,3156,3959,0.105,0.0,0.0,0.0,,,,,,,,,,,
8,2025-08-01T03:35:12Z,Full,3156,1128,3959,1252.732,1.25,0.01,1.25,1092.0,0.0,1092.0,136.0,0.0,136.0,1928.0,1128.0,2730.0,10.0,10.0
9,2025-08-01T03:35:13Z,Young,2221,2211,3959,956.94,0.79,0.17,0.96,1092.0,0.0,1092.0,0.0,136.0,136.0,1128.0,2075.0,2730.0,10.0,10.0
10,2025-08-01T03:35:14Z,Young,3303,3303,3959,0.136,0.0,0.0,0.0,,,,,,,,,,,
11,2025-08-01T03:35:15Z,Full,3303,598,3959,911.726,0.91,0.0,0.91,1092.0,0.0,1092.0,136.0,0.0,136.0,2075.0,598.0,2730.0,10.0,10.0
12,2025-08-01T03:35:15Z,Young,1690,1414,3959,569.609,0.57,0.0,0.57,1092.0,0.0,1092.0,0.0,136.0,136.0,598.0,1278.0,2730.0,10.0,10.0
13,2025-08-01T03:35:16Z,Young,2506,2098,3959,588.197,0.58,0.01,0.58,1092.0,0.0,1092.0,136.0,136.0,136.0,1278.0,1962.0,2730.0,10.0,10.0
14,2025-08-01T03:35:17Z,Young,3190,3190,3959,0.106,0.0,0.0,0.0,,,,,,,,,,,
15,2025-08-01T03:35:17Z,Full,3190,104,3959,578.368,0.58,0.0,0.57,1092.0,0.0,1092.0,136.0,0.0,136.0,1962.0,104.0,2730.0,10.0,10.0
16,2025-08-01T03:35:18Z,Young,1196,1185,3959,803.682,0.81,0.0,0.81,1092.0,0.0,1092.0,0.0,136.0,136.0,104.0,1049.0,2730.0,10.0,10.0
17,2025-08-01T03:35:19Z,Young,2277,1507,3959,299.36,0.3,0.0,0.3,1092.0,0.0,1092.0,136.0,136.0,136.0,1049.0,1370.0,2730.0,10.0,10.0
18,2025-08-01T03:35:20Z,Young,2599,2274,3959,696.017,0.59,0.12,0.7,1092.0,0.0,1092.0,136.0,136.0,136.0,1370.0,2138.0,2730.0,10.0,10.0
19,2025-08-01T03:35:20Z,Young,3367,3367,3959,0.088,0.0,0.0,0.0,,,,,,,,,,,
20,2025-08-01T03:35:21Z,Full,3367,836,3959,1142.777,1.11,0.03,1.14,1092.0,0.0,1092.0,136.0,0.0,136.0,2138.0,836.0,2730.0,10.0,10.0
21,2025-08-01T03:35:21Z,Young,1928,948,3959,92.344,0.09,0.0,0.09,1092.0,0.0,1092.0,0.0,112.0,136.0,836.0,836.0,2730.0,10.0,10.0
22,2025-08-01T03:35:22Z,Young,2041,2031,3959,743.94,0.75,0.0,0.75,1092.0,0.0,1092.0,112.0,136.0,136.0,836.0,1894.0,2730.0,10.0,10.0
23,2025-08-01T03:35:23Z,Young,3123,3123,3959,0.097,0.0,0.0,0.0,,,,,,,,,,,
24,2025-08-01T03:35:24Z,Full,3123,586,3959,949.314,0.95,0.0,0.95,1092.0,0.0,1092.0,136.0,0.0,136.0,1894.0,586.0,2730.0,10.0,10.0
25,2025-08-01T03:35:24Z,Young,1679,1409,3959,549.209,0.55,0.0,0.55,1092.0,0.0,1092.0,0.0,136.0,136.0,586.0,1273.0,2730.0,10.0,10.0
